Time (s), CPU TOTAL, CPU 0, CPU 1, CPU 2, CPU 3 
1747315391976, 7.946, 21.493, 3.470, 2.690, 3.146
1747315396994, .449, .398, .598, .200, .597
1747315402013, .449, .200, .598, .399, .399
1747315407030, .349, .795, .200, .398, .597
1747315412048, .499, .400, .399, .400, .400
1747315417065, .498, .400, .597, .597, .598
1747315422084, .449, .400, .200, .399, .400
1747315427102, .854, 1.619, .998, .601, .800
1747315432120, 1.017, 2.489, .202, .404, .811
1747315437137, 2.764, 9.221, .610, .409, .617
1747315442157, 2.606, 7.818, 1.012, .817, .821
1747315447177, 3.509, 11.952, .814, .816, .617
1747315452197, 4.356, 14.031, 1.226, .612, .821
1747315457216, 8.375, 27.306, 1.449, 1.455, 1.257
1747315462236, 8.063, 26.164, 1.434, .828, 1.041
1747315467257, 7.803, 25.899, 1.237, .824, .631
1747315472279, 9.004, 28.191, 1.250, 1.234, 1.467
1747315477296, 14.489, 44.444, 1.910, 1.476, .849
1747315482318, 11.756, 36.528, 1.449, 1.449, 1.505
1747315487340, 12.365, 37.766, 1.656, 1.048, 1.284
1747315492362, 13.264, 40.614, 1.666, 1.268, 1.068
1747315497380, 20.327, 57.658, 2.132, 1.287, 1.986
1747315502403, 15.485, 46.177, 2.087, 1.041, 1.310
1747315507426, 15.549, 47.401, 1.871, 1.458, .863
1747315512451, 16.682, 50.313, 2.886, 1.271, .643
1747315517469, 23.779, 67.445, 2.365, 1.525, 1.369
1747315522494, 17.185, 52.000, 2.315, 1.273, 1.318
1747315527518, 17.181, 52.103, 2.742, 1.698, 1.339
1747315532545, 18.611, 54.838, 2.586, 1.716, 1.149
1747315537565, 26.811, 75.465, 3.240, 2.488, 1.932
1747315542593, 18.396, 56.923, 2.109, 1.739, 2.097
1747315547622, 18.330, 56.872, 2.765, 1.511, 1.598
1747315552650, 19.145, 59.440, 3.671, 1.724, 1.354
1747315557670, 28.586, 83.025, 2.891, 2.212, 2.902
1747315562703, 18.828, 60.688, 2.017, 1.724, 1.562
1747315567731, 18.855, 61.552, 1.995, 1.528, 1.818
1747315572759, 19.754, 63.345, 2.838, 2.217, 1.860
1747315577779, 29.847, 88.808, 3.883, 1.960, 3.478
1747315582804, 19.923, 64.796, 2.542, 1.797, 2.743
1747315587833, 20.425, 65.680, 2.547, 2.666, 4.433
1747315592868, 21.218, 66.469, 2.558, 3.964, 6.082
1747315597901, 32.969, 98.809, 4.964, 3.233, 10.052
1747315602920, 21.291, 67.529, 4.464, 2.396, 4.796
1747315607952, 20.826, 66.202, 3.325, 2.838, 5.152
1747315612982, 20.562, 66.533, 3.485, 3.275, 3.271
1747315618011, 30.644, 98.406, 4.694, 4.504, 3.147
1747315623030, 21.268, 68.190, 3.611, 2.428, 4.849
1747315628063, 20.725, 66.533, 4.772, 2.603, 3.309
1747315633093, 20.302, 66.600, 2.603, 2.586, 4.235
1747315638125, 32.358, 97.609, 4.328, 3.962, 9.459
1747315643144, 22.228, 68.986, 4.719, 2.375, 6.565
1747315648179, 21.617, 66.600, 5.689, 2.127, 5.181
1747315653214, 20.913, 66.401, 4.175, 1.691, 4.909
1747315658244, 31.351, 96.620, 7.943, 3.160, 5.651
1747315663264, 21.953, 70.059, 4.405, 1.927, 5.721
1747315668295, 21.409, 66.401, 3.131, 5.579, 4.651
1747315673325, 21.192, 66.600, 4.878, 5.298, 2.961
1747315678363, 33.048, 95.626, 8.314, 2.614, 13.611
1747315683382, 23.526, 70.717, 7.077, 4.608, 4.009
1747315688415, 21.916, 66.600, 4.072, 4.415, 5.980
1747315693452, 21.557, 66.334, 5.032, 2.401, 6.845
1747315698487, 30.297, 94.632, 4.377, 3.619, 6.313
1747315703506, 22.082, 71.656, 4.148, 2.614, 3.667
1747315708536, 20.808, 66.600, 2.412, 2.391, 5.596
1747315713568, 21.366, 66.666, 3.076, 3.879, 5.882
1747315718600, 30.398, 93.836, 6.521, 5.393, 3.818
1747315723618, .399, .399, .399, .399, .200
1747315728637, .498, .398, .400, .994, .399
1747315733655, .449, .597, .597, .597, .399
1747315738673, .448, .399, .399, .399, .597
1747315743691, .448, .400, .597, .200, .400
1747315748708, .449, .597, .598, .597, .200
1747315753727, .399, .399, .398, .200, .399
1747315758745, .498, .399, .796, .400, .598
1747315763763, .548, .399, .399, .597, .399
1747315768780, .299, .597, .200, .199, .399
1747315773798, .449, .199, .399, .399, .598
1747315778816, .399, .400, .598, .399, .200
1747315783833, .349, .398, .399, .398, .399
1747315788851, .498, .597, .598, .399, .400
1747315793868, .299, .399, .399, 0, .398
1747315798886, .399, .399, .598, .398, .200
