Time (s),instantaneous CPU Usage (%), cummulative CPU Usage (%)
1746616892505, 6.032, 6.032
1746616897510, .500, 6.009
1746616902516, .350, 5.985
1746616907521, .250, 5.961
1746616912527, .400, 5.938
1746616917533, .349, 5.915
1746616922538, .409, 5.893
1746616927544, .360, 5.871
1746616932551, .465, 5.850
1746616937557, .317, 5.829
1746616942563, .528, 5.808
1746616947570, .423, 5.788
1746616952577, .530, 5.768
1746616957583, .542, 5.748
1746616962589, .544, 5.729
1746616967596, .436, 5.710
1746616972603, .491, 5.691
1746616977610, .802, 5.674
1746616982617, .789, 5.657
1746616987624, .671, 5.640
1746616992631, .561, 5.622
1746616997638, 1.088, 5.608
1746617002645, 1.213, 5.593
1746617007652, 1.090, 5.578
1746617012661, 1.565, 5.564
1746617017669, 2.807, 5.556
1746617022676, 2.198, 5.545
1746617027684, 2.857, 5.536
1746617032692, 2.973, 5.528
1746617037701, 5.919, 5.529
1746617042707, 6.205, 5.531
1746617047715, 6.370, 5.534
1746617052725, 6.950, 5.538
1746617057734, 9.216, 5.549
1746617062741, 11.851, 5.569
1746617067750, 11.423, 5.588
1746617072760, 12.172, 5.610
1746617077768, 21.307, 5.660
1746617082775, 17.830, 5.699
1746617087785, 16.795, 5.736
1746617092793, 18.112, 5.778
1746617097803, 27.085, 5.846
1746617102810, 23.322, 5.903
1746617107820, 20.075, 5.951
1746617112830, 21.018, 6.002
1746617117839, 27.997, 6.074
1746617122845, 23.643, 6.132
1746617127855, 19.967, 6.179
1746617132864, 19.797, 6.224
1746617137873, 28.168, 6.295
1746617142880, 22.914, 6.349
1746617147890, 20.021, 6.394
1746617152900, 20.193, 6.439
1746617157908, 28.587, 6.510
1746617162914, 22.744, 6.562
1746617167924, 20.419, 6.607
1746617172935, 20.947, 6.653
1746617177945, 29.539, 6.725
1746617182953, 24.250, 6.780
1746617187962, 20.713, 6.825
1746617192971, 20.362, 6.869
1746617197981, 29.607, 6.939
1746617202988, 23.494, 6.991
1746617207998, 20.536, 7.034
1746617213007, 17.030, 7.066
1746617218013, .350, 7.043
1746617223019, .350, 7.021
1746617228025, .299, 6.998
1746617233030, .250, 6.976
1746617238036, .250, 6.953
1746617243041, .449, 6.932
1746617248047, .250, 6.909
1746617253053, .450, 6.888
1746617258059, .250, 6.866
