Time (s),instantaneous CPU Usage (%), cummulative CPU Usage (%)
1746555646965, 343.371, 3.433
1746555651971, 35.017, 3.428
1746555656977, 25.012, 3.422
1746555661984, 34.982, 3.417
1746555666990, 35.052, 3.412
1746555671997, 103.519, 3.408
1746555677004, 285.714, 3.407
1746555682012, 374.683, 3.407
1746555687018, 345.002, 3.407
1746555692025, 1014.278, 3.419
1746555697031, 957.705, 3.430
1746555702038, 1103.082, 3.444
1746555707046, 1097.148, 3.457
1746555712053, 1904.981, 3.486
1746555717060, 1543.876, 3.508
1746555722067, 1598.877, 3.530
1746555727074, 1736.304, 3.556
1746555732081, 2504.464, 3.597
1746555737088, 1946.246, 3.626
1746555742097, 1916.977, 3.654
1746555747105, 1956.013, 3.682
1746555752112, 2848.678, 3.728
1746555757119, 2138.157, 3.760
1746555762128, 2088.277, 3.790
1746555767136, 2154.722, 3.822
1746555772144, 3093.320, 3.869
1746555777150, 2221.689, 3.901
1746555782158, 2229.146, 3.933
1746555787167, 2243.401, 3.965
1746555792177, 3270.803, 4.015
1746555797184, 2428.430, 4.049
1746555802193, 2330.000, 4.081
1746555807203, 2358.820, 4.113
1746555812212, 3468.149, 4.163
1746555817219, 2627.589, 4.199
1746555822230, 2539.520, 4.233
1746555827241, 2552.215, 4.267
1746555832250, 3646.812, 4.318
1746555837257, 2841.269, 4.355
1746555842268, 2753.774, 4.392
1746555847278, 2789.968, 4.428
1746555852288, 3988.316, 4.483
1746555857295, 2973.838, 4.521
1746555862305, 2791.556, 4.557
1746555867315, 2786.279, 4.593
1746555872324, 4302.702, 4.651
1746555877331, 3123.331, 4.691
1746555882342, 2956.475, 4.729
1746555887353, 3046.916, 4.768
1746555892362, 4509.051, 4.827
1746555897369, 3513.658, 4.873
1746555902379, 3331.567, 4.916
1746555907391, 3384.452, 4.960
1746555912401, 5029.585, 5.027
1746555917408, 3872.160, 5.078
1746555922420, 3588.266, 5.125
1746555927432, 3652.037, 5.173
1746555932444, 5392.473, 5.245
1746555937451, 4081.740, 5.299
1746555942462, 3765.203, 5.347
1746555947474, 3839.238, 5.397
1746555952485, 5524.891, 5.469
1746555957492, 4063.324, 5.522
1746555962501, 1448.240, 5.536
1746555967508, 25.000, 5.528
1746555972514, 35.000, 5.519
1746555977521, 34.982, 5.511
1746555982527, 30.015, 5.503
1746555987533, 15.007, 5.495
