Time (s),instantaneous CPU Usage (%), cummulative CPU Usage (%)
1746617369110, 6.444, 6.444
1746617374115, .350, 6.425
1746617379121, .350, 6.407
1746617384127, .400, 6.389
1746617389133, .300, 6.370
1746617394138, .499, 6.352
1746617399144, .250, 6.334
1746617404150, .400, 6.316
1746617409155, .399, 6.299
1746617414161, .405, 6.281
1746617419167, .411, 6.264
1746617424173, .577, 6.248
1746617429179, .521, 6.232
1746617434186, .523, 6.216
1746617439192, .527, 6.200
1746617444198, .438, 6.185
1746617449205, .428, 6.169
1746617454212, .699, 6.154
1746617459220, .707, 6.140
1746617464226, .690, 6.126
1746617469233, .667, 6.112
1746617474240, .614, 6.097
1746617479247, .679, 6.084
1746617484253, .968, 6.071
1746617489261, 1.202, 6.059
1746617494268, 1.150, 6.047
1746617499277, 1.561, 6.036
1746617504283, 2.322, 6.028
1746617509291, 1.709, 6.017
1746617514300, 2.130, 6.008
1746617519309, 2.216, 5.999
1746617524315, 4.367, 5.996
1746617529324, 3.149, 5.989
1746617534333, 3.920, 5.984
1746617539341, 4.692, 5.981
1746617544348, 7.882, 5.985
1746617549357, 5.853, 5.985
1746617554367, 6.539, 5.986
1746617559376, 6.982, 5.988
1746617564382, 14.353, 6.005
1746617569392, 10.849, 6.016
1746617574402, 11.433, 6.029
1746617579411, 12.789, 6.044
1746617584418, 20.293, 6.072
1746617589429, 13.956, 6.090
1746617594439, 15.315, 6.111
1746617599448, 17.941, 6.138
1746617604455, 31.362, 6.191
1746617609466, 19.239, 6.221
1746617614477, 21.015, 6.256
1746617619486, 23.032, 6.295
1746617624493, 37.153, 6.361
1746617629503, 23.414, 6.400
1746617634515, 24.810, 6.442
1746617639525, 26.194, 6.488
1746617644532, 44.230, 6.569
1746617649542, 29.332, 6.623
1746617654552, 30.726, 6.681
1746617659564, 30.897, 6.739
1746617664574, 49.794, 6.836
1746617669581, 33.799, 6.902
1746617674592, 34.216, 6.969
1746617679603, 34.393, 7.035
1746617684613, 54.015, 7.144
1746617689620, 35.687, 7.214
1746617694631, 35.668, 7.283
1746617699642, 35.908, 7.353
1746617704652, 57.197, 7.471
1746617709657, .200, 7.452
1746617714663, .350, 7.434
1746617719668, .300, 7.416
1746617724674, .400, 7.398
1746617729679, .300, 7.380
1746617734685, .350, 7.362
1746617739690, .200, 7.343
1746617744696, .300, 7.325
1746617749701, .250, 7.308
1746617754707, .300, 7.290
1746617759713, .399, 7.272
