time,          CPUtotal, CPU0, CPU1, CPU2
1746720036917, 34.828, 63.725, 56.122, 8.235
1746720037946, 15.696, 28.000, 24.489, 3.191
1746720038965, .982, 1.941, .980, 0
1746720039985, 30.563, 61.386, 51.041, 5.555
1746720041015, 38.701, 72.897, 58.762, 7.777
1746720042048, 37.239, 71.296, 58.333, 5.617
1746720043080, 37.631, 73.584, 59.375, 4.545
1746720044110, 37.075, 69.607, 57.731, 6.741
1746720045130, .740, 1.941, .990, .970
1746720046150, 14.646, 29.126, 23.762, 4.210
1746720047184, 42.857, 81.308, 62.244, 12.941
1746720048220, 39.257, 75.238, 60.000, 9.411
1746720049255, 39.686, 75.700, 59.793, 9.523
1746720050291, 39.686, 75.000, 60.606, 10.588
1746720051324, 21.212, 41.346, 29.292, 4.395
1746720052343, .738, 0, 1.941, 0
1746720053362, 34.828, 62.135, 59.803, 4.210
1746720054395, 42.592, 74.285, 70.408, 7.446
1746720055430, 42.297, 74.528, 69.306, 4.301
1746720056467, 44.270, 76.923, 70.707, 6.451
1746720057503, 43.342, 74.038, 72.115, 5.376
1746720058527, 1.228, 1.960, 1.941, 1.941
1746720059547, 14.572, 28.155, 23.762, 1.052
1746720060582, 47.135, 85.849, 72.727, 12.222
1746720061625, 50.526, 96.226, 75.510, 10.227
1746720062662, 48.062, 87.962, 73.786, 9.195
1746720063703, 45.454, 83.486, 72.000, 6.818
1746720064739, 23.441, 41.346, 39.047, 5.208
1746720065759, .737, 1.960, .980, 0
1746720066780, 42.780, 80.582, 66.000, 9.411
1746720067817, 51.329, 94.339, 77.000, 11.904
1746720068859, 49.736, 88.679, 76.000, 12.643
1746720069895, 52.941, 97.142, 79.807, 10.843
1746720070932, 50.656, 89.423, 76.000, 12.790
1746720071952, .985, 1.941, 0, 1.960
1746720072974, 17.005, 31.372, 29.807, 5.319
1746720074012, 51.715, 86.666, 82.692, 15.476
1746720075050, 53.457, 93.269, 81.553, 16.049
1746720076090, 52.493, 90.566, 80.000, 15.853
1746720077133, 50.395, 83.809, 81.553, 11.111
1746720078175, 26.500, 40.776, 46.153, 7.526
1746720079194, .740, .980, .990, .980
1746720080214, 46.133, 81.904, 72.897, 9.876
1746720081258, 54.830, 93.457, 83.018, 14.634
1746720082302, 55.291, 95.327, 84.761, 11.392
1746720083342, 54.907, 99.038, 80.188, 15.853
1746720084380, 53.562, 92.307, 80.198, 13.580
1746720085400, .982, .990, .980, .980
1746720086420, 21.012, 38.235, 35.576, 6.185
1746720087458, 56.878, 98.113, 92.307, 8.139
1746720088498, 54.545, 95.283, 84.905, 10.227
1746720089533, 55.145, 96.153, 88.461, 10.227
1746720090574, 57.512, 99.029, 89.423, 11.235
1746720091611, 24.060, 44.117, 36.274, 5.208
1746720092630, 1.228, 1.941, .990, 0
1746720093651, 51.063, 86.274, 87.500, 10.112
1746720094690, 56.217, 94.339, 90.654, 10.344
1746720095728, 57.772, 97.169, 94.339, 10.465
1746720096765, 57.474, 96.226, 93.457, 13.483
1746720097800, 53.684, 93.269, 85.714, 9.523
1746720098820, 1.228, 1.960, 0, .990
1746720099840, 21.882, 38.834, 37.864, 7.142
1746720100882, 59.366, 100.000, 93.396, 12.941
1746720101920, 57.631, 99.047, 90.566, 8.433
1746720102957, 62.239, 99.047, 92.380, 18.181
1746720103996, 58.666, 100.000, 93.396, 9.756
1746720105034, 26.130, 44.230, 40.196, 6.315
1746720106052, 1.228, 1.960, .980, 1.960
1746720107073, 51.206, 85.436, 85.714, 9.411
1746720108112, 61.170, 99.047, 98.058, 11.904
1746720109153, 61.702, 100.000, 99.047, 14.285
1746720110191, 60.533, 98.076, 99.047, 11.764
1746720111229, 57.631, 92.233, 93.137, 10.588
1746720112249, .982, 0, .990, .980
1746720113268, 21.938, 40.384, 39.423, 5.319
1746720114307, 59.102, 100.000, 95.238, 14.457
1746720115343, 58.421, 100.000, 95.145, 14.117
1746720116380, 59.210, 100.000, 95.283, 12.195
1746720117417, 58.900, 100.000, 95.192, 18.181
1746720118454, 26.184, 43.689, 42.857, 6.382
1746720119473, .738, .980, .980, .980
1746720120494, 52.741, 91.262, 87.500, 7.777
1746720121535, 57.591, 100.000, 94.285, 9.890
1746720122570, 59.259, 99.047, 98.076, 6.896
1746720123608, 60.732, 100.000, 100.000, 12.087
1746720124643, 56.052, 94.117, 93.137, 9.890
1746720125664, 1.225, .980, .980, .990
1746720126684, 23.797, 41.346, 40.776, 5.208
1746720127722, 61.213, 100.000, 99.038, 13.333
1746720128761, 61.780, 100.000, 100.000, 10.465
1746720129801, 61.052, 100.000, 99.038, 9.195
1746720130841, 61.780, 99.038, 99.047, 12.500
1746720131878, 26.184, 42.718, 41.584, 7.142
1746720132896, 1.719, 1.980, .980, .990
1746720133917, 52.116, 87.619, 86.792, 15.476
1746720134955, 61.096, 99.038, 99.038, 20.000
1746720135993, 60.789, 99.047, 99.056, 18.072
1746720137031, 59.326, 97.142, 96.190, 19.540
1746720138068, 56.476, 92.307, 91.428, 16.470
1746720139087, .985, .980, .990, .970
1746720140107, 23.291, 40.776, 40.384, 5.263
1746720141144, 61.818, 99.038, 100.000, 17.977
1746720142184, 60.582, 100.000, 100.000, 14.606
1746720143222, 61.052, 99.047, 99.038, 14.117
1746720144259, 61.538, 100.000, 100.000, 14.117
1746720145297, 25.750, 42.718, 41.747, 5.319
1746720146315, 1.477, .990, .990, .990
1746720147335, 54.594, 91.262, 90.291, 13.580
1746720148374, 61.741, 99.038, 100.000, 17.857
1746720149413, 61.213, 100.000, 99.038, 14.634
1746720150451, 61.578, 100.000, 100.000, 20.000
1746720151486, 56.052, 91.346, 90.384, 15.294
1746720152505, .982, 1.941, 0, .990
1746720153525, 23.155, 40.594, 40.776, 4.210
1746720154561, 60.000, 99.056, 100.000, 13.333
1746720155600, 59.431, 99.047, 98.095, 11.235
1746720156637, 59.055, 99.038, 100.000, 11.235
1746720157676, 59.580, 100.000, 99.047, 12.359
1746720158712, 25.500, 42.718, 42.718, 3.191
1746720159730, .738, .990, 0, .980
1746720160751, 55.733, 90.291, 91.262, 19.101
1746720161790, 61.052, 100.000, 99.038, 14.117
1746720162827, 61.111, 100.000, 100.000, 17.441
1746720163865, 61.052, 100.000, 100.000, 14.772
1746720164902, 56.200, 92.380, 92.307, 12.790
1746720165921, .738, 0, 0, .990
1746720166941, 23.664, 41.747, 41.747, 7.368
1746720167980, 60.477, 100.000, 100.000, 14.285
1746720169020, 60.533, 100.000, 99.047, 12.658
1746720170059, 60.477, 100.000, 100.000, 13.253
1746720171097, 61.315, 99.047, 100.000, 17.857
1746720172133, 25.062, 41.584, 41.747, 5.319
1746720173152, .738, 0, 0, 1.941
1746720174174, 55.376, 92.307, 92.307, 17.283
1746720175212, 61.578, 100.000, 100.000, 19.512
1746720176251, 62.368, 100.000, 100.000, 21.686
1746720177291, 61.111, 100.000, 100.000, 17.283
1746720178329, 56.728, 91.346, 90.291, 17.500
1746720179348, .980, 1.960, 0, .980
1746720180369, 24.615, 42.718, 42.718, 6.521
1746720181412, 62.631, 99.056, 99.047, 18.823
