Time (s),instantaneous CPU Usage (%), cummulative CPU Usage (%)
1746617837154, 7.022, 7.022
1746617842160, .400, 7.006
1746617847165, .350, 6.990
1746617852171, .300, 6.974
1746617857177, .350, 6.958
1746617862182, .349, 6.942
1746617867188, .350, 6.927
1746617872193, .253, 6.911
1746617877199, .459, 6.896
1746617882205, .467, 6.881
1746617887211, .419, 6.867
1746617892217, .521, 6.852
1746617897223, .419, 6.838
1746617902229, .750, 6.824
1746617907235, .542, 6.811
1746617912241, .375, 6.797
1746617917247, .753, 6.784
1746617922254, .500, 6.770
1746617927259, .508, 6.757
1746617932266, .554, 6.744
1746617937273, .667, 6.732
1746617942280, .636, 6.720
1746617947286, 1.056, 6.708
1746617952293, .909, 6.697
1746617957300, .914, 6.685
1746617962307, 1.373, 6.675
1746617967313, 1.399, 6.665
1746617972321, 1.297, 6.654
1746617977329, 1.772, 6.645
1746617982336, 2.182, 6.637
1746617987342, 2.525, 6.629
1746617992350, 2.415, 6.621
1746617997358, 2.727, 6.614
1746618002366, 4.131, 6.610
1746618007372, 5.190, 6.607
1746618012381, 4.849, 6.604
1746618017389, 5.716, 6.603
1746618022398, 8.252, 6.605
1746618027404, 9.797, 6.611
1746618032413, 8.379, 6.614
1746618037421, 9.488, 6.619
1746618042430, 13.728, 6.631
1746618047436, 16.839, 6.649
1746618052446, 13.633, 6.662
1746618057455, 13.980, 6.675
1746618062464, 22.013, 6.702
1746618067471, 22.053, 6.728
1746618072481, 17.993, 6.749
1746618077492, 19.700, 6.772
1746618082501, 27.575, 6.810
1746618087508, 29.721, 6.851
1746618092519, 23.890, 6.883
1746618097530, 24.722, 6.916
1746618102540, 32.509, 6.962
1746618107547, 36.992, 7.017
1746618112558, 29.315, 7.060
1746618117569, 29.254, 7.102
1746618122579, 38.307, 7.162
1746618127585, 42.024, 7.228
1746618132597, 34.246, 7.281
1746618137612, 34.429, 7.334
1746618142622, 43.887, 7.406
1746618147629, 48.065, 7.486
1746618152641, 37.106, 7.545
1746618157653, 37.879, 7.606
1746618162663, 46.021, 7.682
1746618167668, .300, 7.666
1746618172674, .400, 7.651
1746618177680, .450, 7.636
1746618182686, .300, 7.620
1746618187692, .400, 7.605
1746618192698, .250, 7.589
1746618197704, .400, 7.574
1746618202710, .350, 7.559
1746618207716, .450, 7.544
