#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      154.1    86.3    54.7    82.6    93.4   151.2   166.8   175.6   182.6   190.8   202.1   224.6   283.8  1007.7  3173.3   4983.6     5000  1746616918690  1746616923902
read      171.3    79.2    50.7    91.4   107.1   168.7   186.3   196.9   204.4   214.4   227.6   249.2   304.8   874.3  3922.6   9976.8    10000  1746616925405  1746616930602
read      182.5    63.8    50.7    97.5   110.6   180.5   201.8   214.1   223.1   233.9   249.4   272.3   329.3   464.4  1076.1  14990.4    15000  1746616932104  1746616937272
read      190.3    73.7    46.9    98.3   110.4   189.4   213.9   227.3   236.2   248.6   263.9   287.4   337.6   432.8  1745.1  20017.6    20000  1746616938775  1746616943943
read      201.8    78.5    50.7    98.6   110.3   201.1   230.4   245.8   256.4   269.3   285.7   311.4   367.5   501.4  1683.3  24973.3    25000  1746616945445  1746616950614
read      204.0   179.4    54.7    96.2   106.8   200.8   233.3   250.5   262.5   275.4   293.4   319.7   387.6   539.1  4641.9  29828.2    30000  1746616952118  1746616957284
read      209.4    78.7    50.7    97.0   107.7   207.8   245.4   264.2   276.5   291.6   310.1   337.6   396.6   481.6  1199.5  34843.8    35000  1746616958788  1746616963954
read      203.3    81.5    46.9    95.5   105.6   197.4   237.3   258.1   271.7   287.7   307.1   335.9   394.2   488.4  1352.4  39952.7    40000  1746616965457  1746616970628
read      210.3    86.2    50.7    97.4   108.0   202.9   247.0   268.6   283.3   299.5   319.3   350.6   417.4   535.5  1857.0  44827.4    45000  1746616972130  1746616977298
read      220.2   184.8    54.7    99.0   109.5   211.3   259.2   282.9   298.5   316.3   338.1   370.0   436.2   570.8  2304.2  50067.6    50000  1746616978801  1746616983971
read      208.2   101.0    46.9    94.2   103.1   196.8   244.7   269.2   285.6   303.6   325.7   359.9   432.4   613.2  2708.5  54876.0    55000  1746616985474  1746616990644
read      212.5    94.2    43.4    95.9   105.2   199.0   250.5   277.5   295.2   314.4   337.9   371.9   444.1   590.0  1491.6  60101.2    60000  1746616992148  1746616997317
read      217.1   304.2    54.7    93.3   102.1   199.7   252.1   279.7   298.2   318.3   342.8   378.1   453.7   879.0 22162.9  65039.6    65000  1746616998821  1746617003989
read      215.3   105.0    43.4    93.9   103.1   199.4   254.0   283.0   302.5   323.9   349.5   387.4   461.0   604.6  2882.1  69953.0    70000  1746617005492  1746617010662
read      220.4   104.2    54.7    96.0   105.5   202.3   259.4   290.1   310.9   333.8   361.7   400.8   484.4   670.5  1917.8  74617.5    75000  1746617012165  1746617017335
read      212.9   100.8    50.7    94.0   102.8   193.7   249.3   281.1   302.3   325.1   352.6   392.2   469.1   615.6  1816.2  79995.8    80000  1746617018838  1746617024008
read      219.0   105.9    54.7    94.3   103.6   199.4   257.2   289.3   311.4   335.9   364.6   403.8   491.1   666.3  1435.2  84986.6    85000  1746617025513  1746617030686
read      218.6   117.3    54.7    95.5   105.1   195.5   253.1   285.9   308.9   334.1   363.9   404.6   501.2   836.0  2831.7  90159.6    90000  1746617032189  1746617037361
