#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      172.7   372.5    50.7    84.7    97.2   158.9   178.2   188.8   196.9   206.6   220.3   251.3   396.9  1470.3 21324.6   4945.0     5000  1746616455861  1746616461067
read      175.4   286.5    50.7    92.6   105.3   161.2   179.9   190.4   198.4   208.8   223.1   250.5   363.3  3257.8 11467.9   9980.2    10000  1746616462571  1746616467770
read      180.6    90.1    50.7    97.8   110.1   175.8   197.4   209.6   217.9   229.1   243.5   268.9   348.1  1042.5  3559.4  15049.1    15000  1746616469273  1746616474449
read      192.5    78.3    54.7    98.7   110.6   189.7   215.2   228.7   238.2   251.0   268.0   295.5   389.2   668.5  1959.3  20110.6    20000  1746616475955  1746616481126
read      203.7   366.7    54.7    97.2   108.2   195.0   222.4   235.6   246.3   258.1   273.4   299.4   374.4  1054.8 21148.2  24838.0    25000  1746616482628  1746616487800
read      198.8    87.1    54.7    98.0   108.4   197.0   228.1   243.6   254.1   267.6   284.5   311.4   373.6   587.7  3266.1  30161.0    30000  1746616489303  1746616494475
read      202.3    79.7    54.7    97.4   107.3   200.0   234.9   252.1   264.1   277.1   295.2   324.2   399.7   576.4  1708.1  34951.2    35000  1746616495979  1746616501152
read      201.8    89.6    54.7    96.1   105.7   197.7   235.5   253.8   266.4   280.4   297.7   326.7   399.5   617.4  2470.9  39992.2    40000  1746616502655  1746616507826
read      210.9   106.9    54.7    96.5   106.0   200.8   244.4   265.4   279.4   295.7   317.1   353.1   476.6  1030.5  2889.1  45088.0    45000  1746616509331  1746616514504
read      211.1    98.3    54.7    94.4   103.7   205.3   250.9   272.0   286.6   302.8   322.4   354.7   433.3   695.2  2740.2  49911.2    50000  1746616516008  1746616521181
read      210.5    98.7    54.7    94.6   103.9   201.3   248.4   271.1   286.4   303.4   324.2   358.6   450.2   851.7  2289.4  54753.2    55000  1746616522684  1746616527854
read      208.2   129.4    59.1    93.6   102.3   194.8   243.5   268.2   284.6   302.8   324.7   360.0   449.5   950.7  2565.3  60089.4    60000  1746616529358  1746616534527
read      207.7   101.7    54.7    94.3   103.1   192.2   242.7   269.7   287.2   306.4   329.5   364.5   455.1   814.6  2237.2  65022.2    65000  1746616536033  1746616541202
read      210.1    93.5    54.7    93.5   102.4   197.4   249.7   276.3   293.9   313.5   336.9   369.9   435.4   582.3  1450.3  70126.8    70000  1746616542706  1746616547877
read      212.8   102.6    50.7    94.1   103.0   196.3   251.7   280.0   298.8   319.2   343.6   379.4   459.4   686.3  2348.9  75048.8    75000  1746616549381  1746616554551
read      213.2   107.4    50.7    93.8   102.9   196.5   251.1   279.9   299.0   319.6   344.4   381.6   461.3   741.1  2895.4  79906.0    80000  1746616556054  1746616561225
read      208.2    98.3    54.7    93.8   102.5   188.2   243.4   274.3   295.0   317.1   343.1   379.7   452.0   581.7  1580.5  84866.6    85000  1746616562729  1746616567901
read      216.4   149.9    50.7    95.2   104.3   192.8   252.4   285.5   307.3   330.9   358.8   398.2   485.2   780.8  3041.3  89973.2    90000  1746616569405  1746616574576
read      212.9   104.1    54.7    93.5   102.5   189.6   248.9   282.9   305.5   329.4   357.8   397.3   474.7   627.6  1561.0  95200.8    95000  1746616576080  1746616581248
read      208.3    99.8    46.9    93.0   101.9   184.8   242.0   275.0   297.5   321.2   348.9   388.6   465.9   613.3  1546.3  99784.3   100000  1746616582752  1746616587921
read      215.1   108.5    54.7    95.3   104.5   187.1   248.1   284.9   309.5   335.5   365.5   406.6   490.3   666.5  1969.9 105080.0   105000  1746616589424  1746616594593
read      221.5   130.6    50.7    95.0   104.6   191.2   254.0   291.6   316.5   343.1   373.8   420.1   535.8  1155.3  3374.0 109934.6   110000  1746616596097  1746616601265
read      213.0   108.5    59.1    95.6   104.8   183.2   242.0   281.2   308.0   335.6   366.6   408.7   492.4   619.2  1453.0 115161.2   115000  1746616602769  1746616607942
read      221.4   112.5    54.7    97.4   107.5   188.9   250.5   292.1   320.4   350.0   384.0   430.5   530.5   705.0  1411.4 119909.9   120000  1746616609445  1746616614616
read      224.7   175.9    50.7    99.7   110.2   187.6   246.4   289.2   319.5   351.1   386.7   434.8   545.3  1239.4 10360.0 124869.8   125000  1746616616120  1746616621290
read      226.9   119.9    54.7   100.9   111.2   188.0   248.6   295.9   329.9   364.6   402.3   456.8   567.2   736.3  1802.9 130222.0   130000  1746616622794  1746616627964
read      229.0   131.0    46.9   102.3   112.8   186.4   244.0   294.5   332.6   370.0   410.5   466.3   593.6   918.3  2007.9 134987.8   135000  1746616629466  1746616634636
read      292.6   230.6    59.1   111.4   124.0   200.8   267.1   353.6   425.1   500.8   599.7   765.4  1164.0  1580.1  2474.6 139760.2   140000  1746616636140  1746616641310
read      393.2   424.4    50.7   128.3   144.8   217.5   262.3   327.6   501.9   770.4  1125.9  1360.8  1745.7  2984.2  7394.0 143858.9   145000  1746616642814  1746616647985
read      396.2   441.8    59.1   133.3   149.3   212.4   249.5   303.2   487.1   802.5  1158.0  1376.8  1914.2  2988.9  7470.0 147358.2   150000  1746616649488  1746616654660
