Random waveform, supplied seed
Total number of intervals = 85 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600)
Average QPS expected = 95797
Timestamp start: 1747359314635
Timestamp end: 1747360164882

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      218.4    96.8    63.8   104.4   117.6   214.4   249.7   267.4   279.5   293.5   311.8   339.8   419.9   981.9  2507.1  20781.0    20789
read      254.3   207.9    59.1    99.7   109.7   222.8   287.5   323.2   349.0   380.5   416.1   465.6   679.3  2928.2  7039.7  63569.0    63647
read      250.9   206.1    59.1    99.0   108.9   223.2   290.7   327.9   354.4   384.7   419.3   466.8   591.9  2172.3  7389.7  64838.3    64802
read      248.0   148.6    63.8    99.7   110.0   227.3   289.3   322.8   346.1   373.6   405.5   450.9   570.7  1771.8  3075.8  55677.6    55719
read      251.8   203.9    68.9   121.1   136.2   220.9   263.7   289.0   308.2   331.8   364.2   419.3   992.6  3265.5  4526.5 173881.2   174179
read      209.0   114.3    59.1   100.2   109.8   181.8   234.1   266.7   288.7   312.7   341.1   385.7   487.7   945.6  2337.3 106292.3   106356
read      268.6   147.6    68.9   132.1   149.9   248.3   296.4   324.8   346.0   372.2   405.4   459.3   581.6  1375.9  5573.3 178774.4   178750
read      212.3   113.4    63.8   100.7   110.3   183.4   237.7   270.5   292.7   316.9   345.9   394.6   514.3   984.1  2787.6 105660.7   105831
read      210.9   110.8    63.8   100.9   110.6   183.2   235.3   267.5   289.5   313.7   342.9   390.5   507.8   978.4  2482.4 110566.0   110667
read      193.1    85.8    59.1   102.1   116.1   183.9   208.4   222.5   232.6   246.3   265.5   302.1   411.0   936.9  2689.1   8798.5     8803
read      243.1   145.4    63.8   100.5   111.4   226.6   283.4   312.6   332.4   355.0   383.7   426.7   546.5  1615.8  4379.7  45596.5    45662
read      229.1   160.2    59.1   103.2   115.5   218.9   261.0   282.3   296.9   314.7   337.4   373.6   473.8  1529.9  7385.8  30886.9    30867
read      243.0   152.6    59.1    99.5   110.3   225.8   281.8   310.8   330.6   353.3   382.6   425.1   549.6  1773.1  4290.3  45587.5    45656
read      219.8   145.8    63.8   100.6   110.2   186.0   244.4   278.2   301.2   326.8   360.1   416.2   570.7  1542.6  5104.4 100893.1   100938
read      215.2   147.6    59.1   104.7   115.2   186.2   233.1   262.8   284.1   308.6   338.7   386.2   518.8  1785.1  3977.9 132458.2   132360
read      244.3   159.6    59.1    98.4   108.2   216.7   282.8   319.0   344.8   375.6   410.9   460.0   585.0  1949.9  4035.8  67589.3    67591
read      230.9   133.5    54.7   101.0   112.7   220.2   268.4   291.9   307.7   324.9   346.4   384.8   482.5  1259.1  5781.7  33890.1    33910
read      253.1   247.9    63.8    98.6   108.5   205.4   284.6   333.1   367.1   402.2   441.7   498.9   647.1  2817.2  7153.8  85814.4    85729
read      194.8    86.9    59.1   102.2   116.4   188.2   215.7   230.1   240.2   252.3   268.8   294.6   368.7   871.7  3301.5  12927.3    12884
read      238.9   147.2    63.8    99.4   109.8   222.9   278.0   306.7   325.5   346.5   373.5   413.8   506.7  2101.8  3652.2  45590.6    45621
read      233.2   151.4    59.1   100.5   111.6   220.4   270.0   294.5   311.1   329.6   352.5   390.1   482.6  1825.1  5041.8  36918.2    36938
read      244.8   151.6    63.8    98.1   107.8   223.4   285.3   319.0   342.2   369.0   399.7   443.6   570.0  1912.6  3492.1  56840.4    56902
read      219.4   148.5    59.1   100.1   109.8   185.2   241.9   275.2   298.2   323.9   358.4   418.1   581.6  1785.9  4251.0 102392.2   102243
read      196.1    84.2    59.1   101.5   115.3   189.5   218.0   232.5   243.2   255.0   271.8   297.9   371.9   900.2  2375.1  14055.1    14085
read      260.4   207.1    63.8   100.7   111.1   203.9   284.5   340.8   380.3   420.1   465.3   533.6   760.2  2746.2  4472.9  94134.7    94103
read      244.7   156.7    59.1    98.0   107.6   222.2   284.4   318.7   342.4   369.4   401.3   445.8   573.9  1891.4  3231.3  58161.2    58175
read      270.1   341.2    59.1   113.3   127.4   216.5   264.6   292.0   312.7   338.2   373.4   438.5  1714.8  3708.4  7920.7 151437.4   151312
read      243.1   187.8    63.8    98.2   107.7   201.9   276.0   318.0   348.2   384.5   425.0   481.0   600.1  2166.9  6334.6  83250.2    83333
read      254.1   208.1    59.1   119.4   134.3   220.1   264.8   290.7   310.3   334.2   366.7   423.1  1318.4  2650.7  5367.1 164856.8   165153
read      208.0   140.9    63.8   101.9   111.7   181.2   228.0   257.9   279.2   303.7   332.7   375.2   478.1  1339.6  3361.7 123969.5   123975
read      221.3   108.9    59.1   101.9   114.1   212.6   254.4   274.8   289.5   306.0   326.0   359.9   448.8  1228.4  2471.0  28470.0    28449
read      203.3   182.9    59.1   102.8   116.1   194.2   224.5   239.7   251.1   265.0   282.7   310.9   387.1   920.0 10340.0  14939.6    14903
read      225.5   119.7    63.8   101.2   113.2   216.6   261.7   283.6   297.9   314.4   335.2   368.5   455.0  1200.5  3525.7  31246.8    31189
read      217.4   106.0    63.8   103.0   113.9   211.0   250.5   270.0   284.0   299.8   320.2   355.4   436.8  1082.2  2918.4  40677.1    40636
