Random waveform, supplied seed
Total number of intervals = 85 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600)
Average QPS expected = 95797
Timestamp start: 1747356994454
Timestamp end: 1747357844682

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      175.3    76.2    59.1   103.6   116.3   170.0   188.5   199.5   207.8   217.3   230.9   253.0   311.4   886.4  3055.2   8217.7     8195
read      199.3    97.2    59.1   105.8   115.8   176.8   215.9   241.0   260.7   283.7   312.0   355.3   452.1   784.5  2295.9 158431.7   158594
read      200.8   116.5    59.1   103.8   113.6   175.5   216.6   243.3   264.0   287.5   315.8   360.6   468.6  1311.4  3319.4 149744.4   149766
read      180.6    82.4    59.1   103.0   116.7   176.0   195.9   207.2   215.3   225.5   237.8   262.1   320.7   864.8  3101.2  10377.1    10382
read      207.0    93.2    59.1   111.3   122.5   187.2   224.7   248.0   266.0   287.7   315.7   361.9   466.3   736.8  2463.7 170485.8   170548
read      197.1    91.7    63.8   103.7   113.4   174.1   214.2   240.3   260.5   283.8   312.4   355.7   446.0   660.7  1962.8 150412.4   150565
read      196.4   100.3    59.1   101.3   110.5   171.7   214.8   243.2   264.6   288.5   316.4   359.7   448.0   681.0  1455.5 137253.1   137144
read      199.8    97.2    59.1   103.6   113.4   176.3   217.9   244.9   265.4   289.0   317.4   362.4   452.8   713.3  2945.0 143759.2   143496
read      203.9   114.6    63.8   104.5   114.5   179.3   221.5   248.2   268.5   292.1   321.0   368.5   468.2  1039.1  3367.0 144638.9   144743
read      201.9   107.2    63.8    99.2   108.4   174.4   223.4   254.4   276.5   301.0   330.8   376.7   470.0   843.0  1722.5 116834.6   116745
read      200.0   103.1    59.1   100.3   109.7   173.6   218.9   248.1   269.6   293.8   323.1   368.8   462.8  1007.1  2415.6 129100.8   129314
read      201.9   115.6    63.8   103.6   113.4   177.4   219.2   246.0   266.2   289.8   318.7   365.3   463.0  1093.1  3364.9 144763.3   144723
read      201.2   106.2    59.1    98.8   107.9   173.1   221.9   252.9   274.8   299.4   329.0   374.0   468.9  1000.2  2729.3 117493.0   117379
read      202.0   103.4    63.8    99.6   108.9   174.0   222.6   253.5   275.4   300.4   330.6   376.3   473.5   898.5  2336.6 119886.7   119931
read      202.4   160.2    59.1   101.3   110.6   174.5   219.2   247.9   269.2   293.4   322.5   369.4   469.3  1298.7 10639.4 131990.9   132052
read      204.6   205.0    63.8   103.6   113.5   178.4   220.9   247.9   268.2   291.9   320.6   368.0   467.2  1257.3  4312.2 143396.4   143350
read      202.5   133.9    63.8   103.5   113.3   177.6   219.7   246.7   267.2   290.8   319.8   366.6   463.1  1003.3  3480.4 143401.8   143518
read      219.0   127.2    63.8   115.9   128.8   199.7   237.0   260.5   277.5   298.4   326.9   373.4   492.3  1152.9  2928.2 173052.2   172981
read      204.7   105.8    59.1    97.4   106.2   177.2   233.4   265.4   286.1   308.4   335.7   377.9   469.3   782.0  2318.0  93875.6    94027
read      209.3   110.8    63.8   110.8   121.8   187.2   225.7   249.6   268.1   290.3   318.8   366.7   486.3  1095.8  3398.6 170072.2   170019
read      220.3   121.4    63.8   116.7   129.4   199.1   236.0   259.9   277.5   300.1   331.6   386.0   533.0   997.6  3538.2 179034.1   179090
read      222.0   105.6    59.1    99.5   109.8   212.6   258.0   281.6   297.9   317.2   343.9   387.1   477.7  1013.7  2101.4  47056.3    47130
