Random waveform, supplied seed
Total number of intervals = 85 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600)
Average QPS expected = 95797
Timestamp start: 1747357991611
Timestamp end: 1747358841846

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      174.1    67.4    59.1   103.3   116.2   169.4   187.2   198.1   206.1   216.1   230.0   252.3   309.0   866.4  2067.1   8255.9     8195
read      206.6   107.6    54.7   109.5   120.3   186.3   226.4   251.6   270.6   292.7   319.3   360.1   439.1   677.2  2487.8 158542.8   158594
read      209.2   114.9    59.1   107.4   118.2   185.9   228.5   255.0   274.7   297.4   325.1   367.7   464.0  1234.2  3456.0 149916.9   149766
read      192.0   212.7    63.8   107.6   122.5   185.1   206.8   218.6   227.6   237.1   252.1   276.3   348.6   892.8 12538.1  10394.8    10382
read      233.6   101.9    63.8   123.3   138.6   219.1   258.4   281.2   297.7   318.0   344.6   388.0   481.8   816.1  2582.2 170326.7   170548
read      213.8    94.8    59.1   110.8   122.4   193.8   235.4   261.8   280.7   303.0   330.9   373.2   467.9   800.8  1685.6 150969.3   150565
read      210.6   124.9    54.7   105.7   116.4   186.6   231.9   260.3   280.8   304.3   333.0   376.5   470.6   857.6  3218.1 137003.7   137144
read      214.3   109.3    63.8   108.7   119.9   192.0   235.1   262.6   282.3   305.4   334.4   379.0   474.9  1096.8  2742.1 143499.0   143496
read      217.6   122.3    63.8   110.3   121.9   195.0   237.9   265.1   284.6   307.6   336.7   382.0   480.9  1356.4  3950.3 144886.3   144743
read      211.3   113.8    59.1   102.0   112.0   184.1   234.7   266.5   288.6   313.0   342.5   389.3   489.8  1033.6  2347.9 116529.4   116745
read      209.9   111.4    63.8   103.6   114.0   184.5   231.1   260.3   281.5   305.7   335.4   380.2   471.8  1240.2  2604.5 129338.7   129314
read      217.7   126.0    63.8   110.0   121.4   195.1   238.7   265.9   285.6   308.9   338.3   383.8   482.6  1234.7  3389.3 144590.3   144723
read      211.0   112.3    63.8   101.9   111.7   183.4   233.9   265.4   287.3   311.8   341.5   388.3   490.4  1189.3  2481.8 117240.1   117379
read      212.4   119.6    63.8   102.5   112.5   185.0   234.8   266.1   288.0   312.6   342.5   389.6   494.0  1283.7  2746.2 119875.2   119931
read      211.6   130.3    63.8   104.6   115.2   186.6   232.8   261.9   282.8   306.9   336.6   382.0   471.7  1193.6  3332.4 131983.5   132052
read      216.7   134.5    59.1   108.9   120.2   193.8   237.5   264.9   284.6   307.7   336.8   381.9   474.7  1259.6  3631.1 143449.1   143350
read      217.2   121.4    63.8   109.5   120.9   194.7   238.2   265.4   285.1   308.2   337.3   382.9   478.3  1294.3  3504.8 143492.7   143518
read      249.9   125.8    68.9   129.1   145.5   234.4   276.7   301.2   318.8   340.8   369.4   413.7   508.2   883.1  3566.0 172995.6   172981
read      209.3   114.6    59.1    98.4   107.7   183.0   241.3   272.2   291.5   312.3   337.7   377.9   470.8   969.8  3279.6  93964.9    94027
