#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      166.9    72.3    63.8   102.5   113.0   163.2   178.9   187.6   194.7   201.7   213.1   230.6   278.6   751.6  3371.7   4920.6     5000  1746314316520  1746314321726
read      186.2    55.2    68.9   107.2   122.0   186.7   204.2   214.1   220.9   229.5   240.1   258.2   297.1   709.9  1887.7   9932.0    10000  1746314323229  1746314328436
read      193.3    74.5    63.8   105.8   120.2   193.6   213.8   224.9   232.6   242.5   254.1   273.7   319.5   727.6  3256.9  15042.4    15000  1746314329939  1746314335110
read      208.3    65.5    63.8   106.2   120.6   211.2   233.8   246.7   255.1   266.4   279.6   301.7   353.3   650.8  1497.3  19991.4    20000  1746314336613  1746314341785
read      209.7    89.9    63.8   105.2   118.0   212.5   237.6   251.0   260.7   271.7   287.2   310.3   360.3   700.7  2709.4  25004.8    25000  1746314343288  1746314348459
read      206.0    76.8    63.8   102.0   113.3   208.3   235.7   250.5   260.9   272.3   288.6   313.1   367.1   726.0  1986.8  29989.6    30000  1746314349961  1746314355136
read      213.0    86.7    63.8   102.2   114.0   213.7   246.7   263.4   274.3   289.1   307.1   333.7   394.4   656.4  2600.1  34988.2    35000  1746314356639  1746314361809
read      218.9    88.0    59.1   101.7   113.9   219.3   256.3   274.2   287.5   302.5   321.4   349.6   410.9   618.1  1823.4  39848.6    40000  1746314363312  1746314368483
read      217.6    85.4    63.8   101.5   113.2   215.7   255.7   275.0   288.9   304.6   323.9   355.1   421.7   555.8   884.5  45057.8    45000  1746314369987  1746314375163
read      216.0    98.1    63.8   100.1   111.7   211.1   253.8   274.4   289.4   305.9   325.1   354.1   417.5   567.2  2423.9  49974.8    50000  1746314376666  1746314381837
read      215.1    86.3    63.8    99.9   111.6   208.4   253.0   274.8   290.4   308.0   328.6   357.6   422.2   514.5  1078.7  55066.8    55000  1746314383339  1746314388520
