#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      189.0   110.2    74.4   109.7   123.2   183.8   202.1   213.1   220.7   230.5   244.3   270.1   341.4   868.2  6597.8   4942.2     5000  1746482779378  1746482784597
read      202.4    65.2    63.8   112.7   129.7   200.4   221.2   232.0   240.2   251.0   265.7   290.8   358.7   815.7  1937.3   9957.4    10000  1746482786101  1746482791318
read      200.6    86.1    68.9   108.8   122.4   198.6   220.8   232.4   241.2   251.5   266.1   290.0   351.9   815.6  2505.6  14968.8    15000  1746482792821  1746482798007
read      216.9    78.0    68.9   109.3   122.8   218.8   242.6   256.3   267.1   279.2   295.2   320.2   383.3   778.2  2402.2  20054.2    20000  1746482799510  1746482804696
read      213.2    86.0    63.8   106.7   118.2   213.1   240.4   255.7   267.3   280.3   296.8   324.4   392.0   687.9  2423.0  25017.8    25000  1746482806198  1746482811387
read      223.3    81.3    63.8   107.4   118.8   223.1   259.0   276.0   288.5   302.4   319.6   346.7   412.1   595.0  1477.1  29942.4    30000  1746482812891  1746482818076
read      221.2    95.6    63.8   106.3   117.0   222.0   259.0   275.7   287.9   301.0   317.9   344.3   403.8   647.2  3144.2  34940.2    35000  1746482819580  1746482824768
read      231.6   109.9    59.1   108.3   119.2   231.6   270.5   289.1   301.7   316.0   335.1   364.8   449.4  1373.9  3086.9  40067.9    40000  1746482826273  1746482831458
read      233.3    97.1    63.8   107.2   118.6   235.9   277.9   297.4   310.7   325.1   343.6   372.5   439.1   663.1  2027.7  44965.2    45000  1746482832961  1746482838147
read      228.0   101.8    63.8   105.5   116.6   226.1   271.1   291.3   305.0   319.6   340.1   370.5   436.5   731.0  2577.6  49939.0    50000  1746482839651  1746482844836
read      234.5   108.3    68.9   106.3   117.7   231.1   279.2   300.9   315.8   333.5   355.3   388.6   460.3   691.2  2156.5  54783.8    55000  1746482846340  1746482851526
read      230.4   102.2    63.8   104.8   116.1   223.6   274.0   297.0   312.9   331.0   353.4   388.2   460.7   611.9  1980.5  60216.8    60000  1746482853030  1746482858216
read      236.1    97.7    68.9   107.5   119.2   224.9   279.5   305.8   323.3   343.3   368.7   404.7   485.9   612.6  1027.9  64928.0    65000  1746482859719  1746482864905
read      239.7   105.7    63.8   107.7   120.2   227.0   283.0   310.8   329.8   351.1   377.1   415.7   491.1   609.0  1556.7  70009.0    70000  1746482866409  1746482871597
read      237.4   103.1    63.8   107.3   119.8   223.4   277.9   306.0   325.1   346.9   374.3   413.3   490.7   616.5  1646.1  75097.2    75000  1746482873101  1746482878287
read      237.1   108.7    68.9   106.9   119.3   221.2   276.3   305.5   325.3   347.8   375.8   417.4   497.6   674.8  1904.1  80070.8    80000  1746482879790  1746482884976
read      247.7   108.7    68.9   112.0   126.4   233.3   287.1   315.3   335.4   358.5   387.1   428.7   514.3   728.2  2287.5  85026.2    85000  1746482886480  1746482891667
read      256.3   121.2    63.8   112.4   128.3   242.4   294.0   321.2   341.3   365.1   395.4   443.0   578.0  1004.2  2739.2  90171.2    90000  1746482893171  1746482898357
read      264.0   115.5    68.9   118.2   135.7   250.9   301.7   330.3   350.9   375.2   405.4   453.8   564.8   881.3  1916.3  95180.4    95000  1746482899861  1746482905047
read      253.3   121.8    63.8   114.1   130.1   236.6   288.5   316.8   337.6   362.0   392.9   439.0   554.3   942.0  4073.3  99793.0   100000  1746482906549  1746482911738
read      321.6   165.0    68.9   136.2   160.3   301.1   358.9   391.9   417.1   448.5   492.3   571.3   801.6  1520.5  4920.8 105018.8   105000  1746482913242  1746482918428
read      256.2   108.7    68.9   117.6   134.5   240.5   290.3   318.0   338.8   363.5   394.7   443.1   563.6   931.4  1604.8 109868.4   110000  1746482919932  1746482925117
read      331.8   157.5    68.9   147.8   173.4   309.0   369.1   404.6   432.4   466.5   512.7   589.3   768.9  1267.7  3127.7 114983.8   115000  1746482926621  1746482931809
read      475.8   204.0    74.4   216.8   265.0   431.4   495.3   557.1   634.7   717.8   787.7   858.1   978.1  1368.8  3849.5 118725.6   120000  1746482933314  1746482938501
read      502.3   196.0    74.4   276.1   313.7   438.1   537.4   638.4   693.3   739.7   787.3   847.9   969.6  1606.8  3702.3 123093.5   125000  1746482940005  1746482945195
read      546.1   208.2    93.8   327.1   360.1   476.4   547.4   672.9   751.7   809.1   858.9   920.2  1013.8  1248.8  5062.2 118225.2   130000  1746482946698  1746482951884
