#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      183.4    78.5    74.4   110.3   122.5   181.3   198.5   207.6   213.9   221.2   231.5   248.3   303.5   877.0  2472.7   4980.2     5000  1746315408612  1746315413818
read      189.9    64.0    68.9   111.4   125.9   190.3   207.0   215.5   221.8   229.7   239.0   254.6   296.2   802.0  2164.2   9931.8    10000  1746315415320  1746315420518
read      198.9    80.6    68.9   112.2   127.1   200.7   218.1   227.8   234.0   243.0   253.5   271.5   315.9   764.7  2524.0  15078.6    15000  1746315422020  1746315427189
read      205.1    74.5    63.8   110.9   125.7   207.7   227.9   238.1   246.5   254.9   268.1   287.7   338.2   764.8  2816.8  19938.9    20000  1746315428693  1746315433860
read      205.2    67.9    63.8   108.4   121.8   209.3   231.1   242.7   250.8   260.7   272.4   292.6   339.6   471.3  2013.3  24935.4    25000  1746315435362  1746315440530
read      207.2    64.9    63.8   107.2   120.4   211.5   235.8   248.4   256.8   267.2   279.5   299.1   346.8   618.9  1085.8  29940.0    30000  1746315442033  1746315447200
read      210.3    72.4    63.8   106.4   119.0   215.3   241.9   255.0   264.7   274.4   289.7   312.6   364.3   506.8  1527.0  35003.2    35000  1746315448703  1746315453869
read      209.3    82.5    54.7   104.4   116.5   211.3   242.1   256.8   267.3   278.9   294.2   317.7   371.9   587.2  2297.2  40059.0    40000  1746315455372  1746315460540
read      213.8    77.5    63.8   104.1   116.7   216.4   250.2   266.1   276.3   289.3   304.9   328.2   380.8   548.4  1656.2  44961.4    45000  1746315462042  1746315467208
read      213.2   107.1    59.1   102.1   113.6   210.1   246.2   263.7   275.0   290.1   308.8   337.5   416.6  1087.9  4074.5  49910.6    50000  1746315468711  1746315473881
read      212.0    83.3    63.8   101.2   112.9   209.2   249.6   268.1   280.7   294.9   313.7   340.5   401.0   555.2  1815.4  55067.8    55000  1746315475384  1746315480551
read      213.8    93.1    63.8   100.8   112.3   207.3   251.2   271.9   286.3   302.1   320.9   349.8   420.3   692.5  1493.3  60206.6    60000  1746315482054  1746315487222
read      211.4   100.4    63.8   100.3   111.6   202.6   248.6   269.6   283.6   298.7   318.7   347.6   410.8   640.4  2971.7  65042.1    65000  1746315488724  1746315493892
read      207.9    84.9    63.8    99.2   110.4   197.7   245.1   267.2   281.7   297.6   317.5   346.1   404.0   522.1  1278.0  70116.8    70000  1746315495394  1746315500561
