#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      182.4    61.6    68.9   108.3   122.9   183.4   197.1   204.2   210.2   216.3   225.8   240.2   298.5   447.4  2354.6   4963.0     5000  1746362199718  1746362204933
read      204.5    63.0    74.4   122.7   148.3   204.6   220.1   228.8   234.2   243.2   254.2   275.7   319.5   508.5  3358.2  10050.2    10000  1746362206437  1746362211638
read      217.4    73.5    68.9   133.5   152.1   217.5   234.2   245.4   253.1   264.2   277.3   297.9   343.0   615.7  2625.1  15111.0    15000  1746362213141  1746362218311
read      220.9    58.8    63.8   135.9   150.1   222.6   242.3   253.7   263.3   273.3   287.9   309.0   346.6   402.9  1497.8  19988.0    20000  1746362219814  1746362224989
read      232.5    96.8    63.8   138.2   150.7   230.9   256.7   271.7   282.3   293.6   308.8   330.6   374.2   535.9  3432.5  24958.6    25000  1746362226492  1746362231662
read      229.9    72.1    54.7   135.9   147.2   229.5   258.5   274.6   285.8   297.1   312.6   334.7   375.7   436.4  1122.0  30039.4    30000  1746362233166  1746362238337
read      233.5    70.2    63.8   135.2   145.7   232.4   267.0   284.1   294.8   307.5   320.9   343.7   390.5   454.8  1502.7  35061.4    35000  1746362239839  1746362245012
read      235.9    96.8    63.8   134.9   145.0   233.1   272.8   290.9   302.6   315.0   330.7   352.4   397.2   462.7  2780.1  39918.1    40000  1746362246516  1746362251687
read      236.3    85.4    59.1   134.2   143.9   231.9   275.0   294.1   306.6   319.2   336.0   359.4   402.4   499.3  2501.0  45060.2    45000  1746362253190  1746362258360
read      237.4    81.5    63.8   134.4   143.9   230.5   278.5   299.6   312.5   326.4   342.8   367.5   415.2   480.8  1100.5  49993.6    50000  1746362259863  1746362265034
read      241.6   105.6    63.8   136.0   145.2   230.6   283.0   305.7   319.2   334.3   351.1   374.6   427.2   555.5  3802.4  55142.0    55000  1746362266537  1746362271708
read      239.7    89.3    63.8   135.2   144.0   224.8   281.2   307.7   323.3   339.4   358.7   385.2   433.0   509.2  1386.2  60002.0    60000  1746362273211  1746362278381
read      239.6    93.7    63.8   134.0   143.2   221.5   280.9   309.2   325.7   342.3   362.3   389.9   436.3   522.0  2421.9  64876.6    65000  1746362279884  1746362285058
read      232.2    89.7    59.1   132.9   141.7   211.7   268.5   298.8   316.1   333.8   353.4   380.0   429.1   504.1  1578.2  69880.8    70000  1746362286560  1746362291732
read      234.0    93.9    59.1   133.6   142.2   209.7   267.8   301.3   320.2   339.3   361.2   390.4   439.2   527.4  2466.7  75106.4    75000  1746362293235  1746362298405
read      232.9    84.9    59.1   135.0   143.7   208.7   260.8   295.7   316.7   337.7   361.1   392.0   444.3   512.2   741.3  79913.4    80000  1746362299908  1746362305079
read      238.5    96.6    54.7   137.4   145.7   213.4   268.3   302.7   323.9   345.0   369.0   400.2   458.6   544.9  2616.9  85028.7    85000  1746362306582  1746362311755
read      237.2    98.2    59.1   136.5   144.9   211.2   265.4   301.3   322.7   344.1   368.1   399.9   460.2   573.9  2473.4  89890.0    90000  1746362313260  1746362318431
read      237.5    97.2    59.1   138.1   146.5   211.9   264.5   300.1   321.6   343.0   367.4   399.3   457.8   541.8  2541.8  95065.4    95000  1746362319935  1746362325107
read      240.2    93.7    54.7   138.2   147.3   215.2   267.1   301.9   323.8   346.1   371.5   404.2   465.8   550.4  2009.0 100052.8   100000  1746362326609  1746362331781
read      238.7    99.9    59.1   139.9   149.3   213.2   261.8   295.4   317.8   341.3   367.9   402.2   464.0   549.5  3224.7 104930.1   105000  1746362333285  1746362338457
read      242.6    88.3    59.1   140.9   151.0   218.3   268.3   301.3   323.4   346.6   373.2   407.5   467.0   545.8  1000.6 109836.6   110000  1746362339960  1746362345133
read      246.4    95.7    59.1   142.7   153.3   222.0   271.6   304.0   325.8   349.3   376.6   414.3   479.5   590.5  2057.8 114916.2   115000  1746362346637  1746362351808
read      261.4    92.2    63.8   149.0   161.4   243.0   293.9   321.7   340.9   362.4   388.0   423.8   491.3   592.2  1249.5 120034.3   120000  1746362353312  1746362358483
read      353.9   179.3    63.8   157.0   173.2   316.0   386.3   430.6   472.9   541.6   621.9   715.2   878.5  1203.4  2390.7 125010.8   125000  1746362359986  1746362365159
read      257.2    97.0    59.1   151.1   163.3   236.8   284.2   312.6   332.3   353.9   379.4   416.0   484.9   586.6  2014.2 129599.6   130000  1746362366662  1746362371833
read      369.3   169.0    63.8   170.0   190.4   339.4   408.9   449.0   482.0   530.8   605.7   713.0   852.1   985.1  2178.5 134874.2   135000  1746362373336  1746362378505
read      285.7   107.2    63.8   163.2   178.5   264.6   310.9   337.1   356.0   377.6   405.1   459.7   712.3   857.2  1175.5 139338.1   140000  1746362380008  1746362385179
read      415.4   140.3    86.8   228.6   255.3   406.3   481.7   515.7   538.2   563.1   591.0   632.1   707.2   849.3  3705.7 143524.2   145000  1746362386682  1746362391854
read      433.0   137.7    80.4   242.6   267.3   427.0   508.5   540.8   562.4   585.6   614.9   653.6   730.6   857.3  2117.8 145080.5   150000  1746362393358  1746362398533
read      519.4   186.1   101.3   304.7   331.4   451.6   610.2   678.7   712.6   743.9   780.8   827.6   913.3  1068.7  4115.9 124390.5   155000  1746362400036  1746362405208
read      454.4   157.1    80.4   256.6   279.3   445.0   537.8   572.5   593.7   618.6   644.9   688.2   790.4   938.4  3447.7 141653.9   160000  1746362406711  1746362411885
read      441.7   158.0    74.4   252.4   273.8   428.3   533.0   566.2   585.4   606.8   630.1   666.0   733.5   867.8  4276.4 145350.5   165000  1746362413387  1746362418557
read      481.2   164.5    93.8   278.0   300.8   429.8   583.8   626.5   651.6   676.7   705.6   742.0   807.5   944.3  2178.3 134106.1   170000  1746362420060  1746362425232
read      449.6   159.6    93.8   257.0   280.6   424.6   530.0   569.3   593.3   620.3   649.9   689.3   759.6   899.6  3781.9 143446.2   175000  1746362426736  1746362431909
read      473.3   161.1   118.1   279.0   301.6   412.1   573.2   619.7   645.4   670.1   695.6   733.9   799.7   909.1  2429.9 136330.2   180000  1746362433412  1746362438584
read      441.1   153.4    80.4   250.4   273.4   436.7   526.3   558.9   579.1   600.6   626.3   662.0   728.2   856.5  4336.9 146050.0   185000  1746362440087  1746362445259
read      436.9   150.2    74.4   247.1   270.1   435.8   519.2   550.2   570.4   590.7   617.4   650.1   720.7   871.5  3883.0 147509.6   190000  1746362446763  1746362451936
read      439.5   156.5   109.4   249.7   270.2   441.9   532.4   562.6   580.3   599.1   622.4   651.5   717.7   863.7  2364.7 146626.8   195000  1746362453439  1746362458610
read      438.6   139.8    86.8   249.3   270.2   446.9   527.9   556.7   574.2   591.8   616.2   641.9   705.8   841.9  1872.3 146934.6   200000  1746362460112  1746362465284
