#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      179.8    64.8    68.9   104.8   117.0   182.0   195.1   201.6   207.5   213.7   221.5   234.4   273.2   575.4  2671.1   4973.6     5000  1746362583951  1746362589156
read      195.4    54.3    68.9   117.2   144.7   197.4   211.2   217.8   223.7   230.0   236.8   252.3   292.2   370.0  2167.0  10013.4    10000  1746362590659  1746362595854
read      210.1    55.3    63.8   135.6   154.1   212.5   227.9   235.0   241.6   248.7   257.0   273.1   316.2   418.2  1376.3  14969.0    15000  1746362597357  1746362602527
read      214.7    48.9    68.9   138.2   154.0   218.8   234.4   243.5   249.5   256.0   267.3   283.5   322.4   407.9   764.5  19926.8    20000  1746362604030  1746362609198
read      217.1    50.0    63.8   139.3   152.6   221.4   239.3   248.7   254.7   263.9   273.4   291.9   332.1   396.6   544.3  25017.2    25000  1746362610700  1746362615868
read      220.8    64.0    68.9   139.6   152.0   224.5   245.3   254.8   262.9   271.0   282.6   300.1   340.7   441.3  2438.5  30038.6    30000  1746362617370  1746362622537
read      219.4    72.5    54.7   137.5   148.3   223.8   245.8   256.0   264.2   272.4   284.7   301.6   341.2   413.9  2472.1  34931.1    35000  1746362624040  1746362629206
read      220.5    57.3    63.8   137.1   147.3   225.4   249.6   261.1   268.7   277.1   289.8   308.2   345.6   478.7   775.9  40106.8    40000  1746362630710  1746362635877
read      220.2    74.0    59.1   134.2   144.8   223.5   249.9   262.2   270.2   279.7   291.8   310.6   346.1   477.6  2287.2  45055.2    45000  1746362637380  1746362642547
read      220.3    63.4    59.1   134.2   144.3   222.1   252.5   265.7   274.0   285.1   296.8   316.6   356.9   444.6  1045.0  50083.4    50000  1746362644050  1746362649218
read      221.8    73.1    59.1   135.1   144.8   222.5   254.1   267.6   276.4   287.6   299.6   318.3   359.5   445.2  2347.1  54888.5    55000  1746362650721  1746362655889
read      221.7    75.3    59.1   133.3   143.0   215.6   253.5   270.7   282.7   295.6   311.9   334.3   374.0   442.8  1418.7  60244.2    60000  1746362657392  1746362662559
read      221.8    85.3    59.1   133.0   142.3   215.5   255.2   271.7   283.1   295.1   310.7   332.6   374.1   591.7  2162.9  65054.4    65000  1746362664062  1746362669230
read      220.7    75.9    54.7   132.2   141.2   210.9   253.9   272.6   285.4   298.9   315.5   339.2   384.0   459.6   901.5  69991.4    70000  1746362670733  1746362675901
read      220.0    95.1    54.7   132.5   141.2   207.8   253.2   272.9   285.8   299.1   314.7   336.6   374.3   453.1  2562.7  74964.6    75000  1746362677404  1746362682573
read      219.6    80.3    59.1   132.8   141.2   203.5   250.4   271.9   285.8   300.2   316.5   340.1   390.7   812.2  1924.3  79968.6    80000  1746362684075  1746362689243
read      215.3    73.8    54.7   131.1   139.5   199.2   246.0   267.7   281.8   296.5   313.3   336.3   376.6   449.9  1780.3  85023.8    85000  1746362690746  1746362695915
read      218.7   130.3    59.1   133.5   141.8   200.4   246.3   269.9   285.7   302.2   319.8   344.3   392.4   494.1  1529.4  89842.4    90000  1746362697418  1746362702587
read      215.5    77.1    54.7   132.5   140.6   196.6   243.0   267.2   283.1   299.6   316.9   340.5   384.3   471.6  2621.4  95007.2    95000  1746362704090  1746362709258
read      213.9    78.4    54.7   132.5   140.5   193.9   238.8   263.7   280.4   298.1   317.0   341.8   388.9   461.9  1387.6  99694.4   100000  1746362710761  1746362715931
read      214.1    78.3    59.1   133.1   140.9   193.8   238.0   263.1   280.4   298.4   317.5   342.4   389.7   470.9  2399.2 104877.8   105000  1746362717433  1746362722603
read      211.9    72.3    54.7   132.7   140.8   190.9   233.0   258.4   276.5   295.9   316.2   341.8   388.8   466.6  1211.7 110088.7   110000  1746362724106  1746362729275
read      213.6    74.3    59.1   134.1   142.0   192.7   233.2   258.5   277.2   297.8   319.2   345.9   395.6   469.1  2259.8 115126.2   115000  1746362730778  1746362735947
read      213.7    77.5    50.7   134.0   142.0   192.8   232.6   257.6   276.2   297.6   319.9   347.1   396.8   466.5  1560.6 119642.4   120000  1746362737451  1746362742619
read      211.3    77.9    59.1   134.3   142.0   189.9   227.7   252.1   271.1   292.8   316.1   344.2   395.6   475.0  1970.3 125231.7   125000  1746362744121  1746362749292
read      214.6    72.6    59.1   135.9   143.6   194.0   231.3   255.6   275.1   297.2   321.1   351.6   402.5   492.7  1088.6 129771.2   130000  1746362750795  1746362755964
read      215.3    81.4    59.1   138.5   146.0   194.8   229.6   253.0   272.1   294.6   319.9   352.8   404.5   492.1  1896.8 134990.0   135000  1746362757468  1746362762636
read      214.3    79.6    59.1   138.2   145.8   194.6   228.0   250.2   268.3   290.1   315.5   348.5   406.0   545.5  2354.5 139950.4   140000  1746362764138  1746362769307
read      217.9    75.5    59.1   139.2   147.6   198.4   232.7   255.4   274.1   296.3   322.0   356.7   414.5   494.2  1310.2 144885.0   145000  1746362770810  1746362775979
read      216.3    79.1    59.1   140.1   148.9   197.3   229.2   250.7   268.4   289.9   315.9   350.5   412.0   513.0  2420.8 150551.9   150000  1746362777482  1746362782650
read      216.2    73.6    59.1   140.4   149.4   198.3   229.2   249.7   266.7   287.9   313.7   347.0   406.2   579.3  1507.1 155169.0   155000  1746362784152  1746362789323
read      220.5    76.1    59.1   142.6   151.8   202.4   234.1   255.2   272.5   293.4   318.5   353.8   416.3   507.6  2481.6 159542.1   160000  1746362790826  1746362795994
read      221.6    75.2    59.1   142.5   151.8   204.4   235.9   257.7   274.3   294.6   319.1   354.7   417.9   507.7  1486.9 164993.6   165000  1746362797498  1746362802666
read      222.3    74.5    54.7   143.1   152.6   205.6   236.7   257.7   273.9   293.8   318.3   354.5   420.1   504.8  2249.1 169907.4   170000  1746362804168  1746362809337
read      235.7    83.5    59.1   146.8   156.3   215.0   251.2   275.0   294.0   316.1   344.1   388.7   489.8   730.4  1441.6 175021.4   175000  1746362810840  1746362816008
read      228.6    87.7    59.1   149.2   158.9   213.9   243.7   262.9   277.2   295.4   318.6   354.4   423.7   537.1  3927.0 179753.8   180000  1746362817511  1746362822679
read      261.2   100.7    59.1   152.6   164.2   233.4   281.1   313.5   337.7   366.1   400.2   451.6   550.1   697.4  1829.2 184675.0   185000  1746362824181  1746362829350
read      228.1    77.6    59.1   150.9   161.3   214.4   242.5   260.6   274.1   291.8   314.9   350.9   428.0   553.0  1276.9 189915.9   190000  1746362830853  1746362836021
read      236.5    78.5    54.7   154.8   165.8   222.1   251.0   269.4   283.6   301.0   324.7   364.6   455.4   648.5  2247.8 195237.0   195000  1746362837524  1746362842693
read      237.3    75.0    59.1   156.2   167.9   226.5   254.7   272.1   285.3   300.4   320.0   351.4   418.9   572.0  1939.5 200059.2   200000  1746362844196  1746362849364
read      268.1    84.5    63.8   164.9   178.7   253.5   293.2   316.5   333.6   353.2   377.7   415.6   491.6   609.9  1446.6 203836.6   205000  1746362850867  1746362856036
read      276.0   121.0    63.8   164.8   178.4   248.5   288.2   316.2   340.7   372.5   415.8   481.8   613.5   789.8  2524.0 204636.7   210000  1746362857538  1746362862707
read      277.8   105.4    59.1   170.6   185.2   257.2   294.9   320.4   341.8   368.0   401.0   451.0   542.9   691.1  3599.2 210015.9   215000  1746362864209  1746362869378
read      280.6    99.1    63.8   172.0   186.6   257.2   295.8   324.1   347.7   376.7   412.0   463.0   572.8   733.0  1802.2 212762.5   220000  1746362870882  1746362876052
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 55.60%,1.51%,100.00%
