#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      187.4    92.2    68.9   103.4   114.3   185.1   202.8   213.8   221.7   231.7   245.6   268.2   329.3   998.3  3365.9   4965.6     5000  1746485942233  1746485947449
read      198.8    65.7    68.9   110.0   125.9   196.9   216.8   228.2   235.7   247.2   261.3   283.2   336.7   927.8  1890.3   9942.2    10000  1746485948953  1746485954165
read      204.5    82.0    68.9   111.3   125.8   204.5   224.6   235.0   244.0   253.5   267.7   290.5   342.7   901.7  3564.0  14950.4    15000  1746485955668  1746485960852
read      210.8    76.5    59.1   111.8   125.5   211.3   233.5   246.6   255.5   267.3   281.9   307.2   362.7   536.1  2751.9  20056.4    20000  1746485962356  1746485967541
read      216.3    95.2    63.8   111.4   123.9   218.6   242.9   256.0   266.3   277.2   293.2   318.0   376.3   576.5  2331.2  25039.4    25000  1746485969046  1746485974230
read      214.9    85.5    63.8   110.0   121.4   219.0   244.2   257.7   267.6   278.7   293.9   318.4   371.5   471.3  3351.8  29972.6    30000  1746485975734  1746485980918
read      218.0    75.2    63.8   110.3   121.5   221.7   250.1   265.3   275.1   288.7   305.1   330.9   390.4   513.2  1804.0  35039.2    35000  1746485982422  1746485987608
read      220.1    79.7    68.9   107.6   118.8   225.2   256.0   270.8   281.8   294.7   312.6   339.5   396.3   501.6  1371.5  40002.6    40000  1746485989111  1746485994298
read      223.5    85.8    63.8   108.4   119.3   225.4   261.0   277.3   289.7   304.0   322.1   354.7   424.9   628.6  1806.6  45134.3    45000  1746485995802  1746486000987
read      223.6    95.9    63.8   106.4   117.2   224.1   260.8   277.6   289.9   304.1   321.6   356.0   453.2   894.9  2346.9  49865.8    50000  1746486002492  1746486007678
read      219.6    87.6    63.8   106.6   117.2   218.8   258.8   276.2   288.9   303.2   321.0   353.2   427.9   607.7  1950.6  54863.8    55000  1746486009181  1746486014367
read      220.5    95.5    59.1   106.3   117.0   214.5   259.5   279.3   292.9   309.2   329.5   362.4   437.0   700.6  2639.0  59860.6    60000  1746486015872  1746486021057
read      220.9    91.5    63.8   105.8   116.5   214.2   261.6   282.2   295.6   312.1   332.6   364.9   435.8   692.5  1896.0  64933.2    65000  1746486022562  1746486027746
read      221.5   100.2    54.7   104.8   115.3   210.3   260.0   281.7   296.3   314.1   337.0   372.7   476.8   917.3  2089.4  70189.8    70000  1746486029250  1746486034433
read      221.1    94.6    63.8   104.6   115.3   209.9   261.2   283.7   298.5   315.9   338.3   372.8   462.2   667.8  2093.9  75097.2    75000  1746486035938  1746486041127
read      216.9   101.9    63.8   105.1   115.2   202.3   255.8   279.2   294.5   311.9   333.4   366.8   444.6   677.4  2199.2  80034.4    80000  1746486042631  1746486047815
read      218.0    94.7    63.8   103.9   114.4   203.6   257.1   281.5   297.3   315.2   337.6   371.7   451.3   637.7  1606.6  84908.0    85000  1746486049318  1746486054504
read      218.1    97.7    63.8   104.9   115.3   201.5   255.6   280.8   296.7   314.9   337.5   371.6   458.2   754.5  2201.4  89796.8    90000  1746486056008  1746486061198
read      214.3   101.8    63.8   104.7   114.7   195.9   249.7   276.3   293.2   311.7   334.5   368.5   446.3   681.7  3035.5  95145.5    95000  1746486062702  1746486067887
read      214.1    95.1    59.1   105.3   115.7   195.0   247.0   274.1   291.8   311.4   335.2   370.2   452.8   685.8  1795.4  99888.9   100000  1746486069391  1746486074578
read      213.3    95.7    63.8   105.4   115.7   194.3   246.1   273.3   291.1   310.4   333.7   368.2   446.4   617.7  2300.1 104890.4   105000  1746486076082  1746486081274
read      214.1   103.5    63.8   105.6   115.9   192.2   242.8   271.2   289.9   310.2   335.0   372.3   476.6  1009.7  2454.3 110153.0   110000  1746486082778  1746486087966
read      214.1   107.2    68.9   107.2   117.7   194.7   243.6   271.1   289.4   309.5   333.6   369.1   450.9   635.6  3426.0 115010.0   115000  1746486089470  1746486094660
read      217.3    94.7    59.1   109.3   119.9   197.4   245.7   273.2   292.1   313.4   339.1   376.3   468.3   762.6  1817.5 119843.7   120000  1746486096164  1746486101353
read      226.4   102.9    68.9   112.1   124.5   208.0   256.9   284.2   302.7   323.0   348.0   387.9   487.1   833.3  2775.2 125187.2   125000  1746486102858  1746486108048
read      227.7   100.4    63.8   113.2   125.6   206.7   255.6   284.0   304.0   326.7   355.5   399.3   507.1   789.1  1670.1 129914.4   130000  1746486109553  1746486114737
read      225.6    98.9    68.9   114.1   126.7   204.6   251.0   278.2   297.6   319.9   348.0   394.0   509.3   879.6  1896.6 134883.1   135000  1746486116242  1746486121428
read      234.3   106.1    68.9   117.2   131.1   216.3   263.3   289.5   308.2   329.7   357.2   399.0   506.8   869.6  2740.2 139907.2   140000  1746486122932  1746486128118
read      240.5   105.7    68.9   120.8   135.6   222.2   268.7   295.0   314.1   336.3   364.7   408.2   534.7   931.8  2023.7 144946.4   145000  1746486129623  1746486134808
read      229.2    95.2    68.9   118.4   132.1   212.0   254.9   280.2   298.4   319.4   345.9   388.5   490.2   831.0  1837.6 149755.1   150000  1746486136312  1746486141506
read      243.4   132.4    68.9   123.6   138.6   223.6   268.3   294.1   313.3   336.3   366.3   415.0   558.6  1042.6  3702.5 154897.0   155000  1746486143011  1746486148197
read      253.6   112.4    59.1   130.3   146.5   235.5   279.7   304.9   322.8   344.9   373.8   423.7   570.0  1208.1  2606.7 160023.8   160000  1746486149700  1746486154886
read      264.4   118.5    68.9   132.5   149.7   244.0   290.5   317.5   338.3   363.6   397.4   456.0   623.8  1156.4  2674.6 165129.8   165000  1746486156390  1746486161577
read      295.1   137.4    63.8   136.0   153.9   266.8   331.2   370.5   399.1   433.1   476.1   541.6   676.8   913.4  2292.8 168839.2   170000  1746486163081  1746486168266
read      276.3   111.5    74.4   144.1   163.1   259.3   302.7   328.2   346.9   371.5   404.0   462.4   615.8  1018.8  2510.8 174688.0   175000  1746486169769  1746486174954
read      285.1   114.3    68.9   144.9   164.6   268.0   316.0   344.0   365.4   391.0   424.7   477.9   610.1   990.8  2369.4 179443.3   180000  1746486176458  1746486181644
read      321.4   140.7    74.4   166.2   189.4   298.5   352.4   386.1   411.1   441.9   481.7   542.3   677.5  1062.1  4036.8 181918.5   185000  1746486183148  1746486188336
read      325.0   162.7    74.4   152.5   174.7   287.2   348.8   393.8   431.0   478.3   538.6   622.5   773.5  1001.6  2575.2 181262.3   190000  1746486189839  1746486195024
read      333.1   156.3    74.4   154.9   177.5   298.7   363.4   406.6   442.7   486.2   540.7   620.4   779.9  1179.2  2681.3 175615.9   195000  1746486196528  1746486201714
read      337.1   143.1    63.8   176.1   202.2   314.5   366.0   397.5   422.0   451.7   491.7   556.4   748.5  1480.2  3837.7 184781.0   200000  1746486203218  1746486208404
read      328.8   142.8    74.4   167.9   190.7   300.7   358.2   395.5   424.6   459.7   504.5   573.4   726.8  1154.3  2882.2 186949.8   205000  1746486209909  1746486215096
read      360.9   133.4    74.4   186.4   213.6   344.7   399.1   430.9   455.3   484.7   524.3   587.7   740.9  1137.6  2617.6 177942.4   210000  1746486216600  1746486221786
read      365.5   162.7    68.9   181.1   208.6   332.1   394.0   435.4   469.5   513.3   572.0   657.9   826.6  1221.6  3417.2 175101.2   215000  1746486223289  1746486228473
read      345.6   149.4    74.4   180.5   206.2   318.1   375.7   412.7   440.7   474.3   518.9   587.0   742.4  1206.7  3856.4 184549.6   220000  1746486229978  1746486235163
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 83.88%,35.50%,100.00%
