1747238651545, 11.437, 27.535, 11.116, 3.313, 3.404
1747238656565, .448, .399, .398, .398, .597
1747238661587, .449, .399, .399, .598, .200
1747238666608, .448, .796, .399, .398, .795
1747238671627, 1.159, 1.417, 1.818, .602, .603
1747238676649, 2.023, 2.459, 4.417, .806, .804
1747238681673, 2.301, 3.655, 2.164, 1.629, 1.224
1747238686694, 1.815, 3.144, 2.760, .816, .814
1747238691715, 2.534, 3.789, 4.192, .817, 1.219
1747238696738, 2.496, 2.991, 4.411, .821, 2.028
1747238701762, 3.650, 5.829, 4.878, 1.677, 2.049
1747238706782, 3.338, 5.458, 6.047, 1.446, 1.037
1747238711805, 3.232, 5.021, 5.228, 1.237, 1.443
1747238716830, 3.136, 6.852, 3.603, .823, 1.446
1747238721855, 5.013, 9.728, 7.565, 1.867, 1.709
1747238726874, 3.745, 6.108, 6.320, 1.455, 1.263
1747238731898, 4.272, 7.760, 6.950, 1.455, 1.268
1747238736923, 4.926, 8.685, 8.501, 1.670, 1.483
1747238741949, 7.171, 12.439, 13.615, 1.923, 2.141
1747238746969, 6.332, 11.212, 11.751, 1.871, 1.290
1747238751997, 7.332, 13.199, 12.669, 2.291, 1.906
1747238757026, 7.629, 12.954, 14.221, 2.301, 1.687
1747238762054, 11.271, 18.826, 21.582, 2.672, 3.104
1747238767074, 11.861, 21.603, 21.700, 2.614, 2.558
1747238772103, 10.323, 19.777, 17.312, 2.838, 2.109
1747238777134, 10.806, 20.935, 18.693, 3.260, 1.483
1747238782166, 17.388, 31.554, 33.256, 3.004, 3.348
1747238787187, 14.493, 26.126, 27.020, 2.335, 2.981
1747238792219, 14.277, 25.663, 26.280, 3.426, 2.608
1747238797249, 14.699, 26.503, 28.508, 2.391, 1.935
1747238802280, 22.663, 38.028, 44.642, 4.449, 4.555
1747238807300, 19.158, 34.234, 37.250, 3.463, 2.222
1747238812333, 18.246, 30.837, 34.623, 3.695, 3.728
1747238817366, 18.630, 32.017, 35.470, 3.340, 3.090
1747238822397, 26.892, 49.327, 47.123, 5.727, 4.395
1747238827418, 25.711, 46.551, 45.336, 3.971, 4.535
1747238832452, 22.821, 39.957, 40.430, 3.728, 6.263
1747238837491, 22.993, 40.085, 41.163, 4.301, 5.393
1747238842528, 32.026, 54.824, 59.148, 7.415, 4.090
1747238847548, 30.534, 52.890, 56.932, 5.180, 4.044
1747238852583, 26.318, 45.052, 48.240, 3.736, 6.040
1747238857622, 26.742, 45.684, 48.117, 4.194, 6.306
1747238862658, 35.421, 60.253, 61.702, 7.870, 6.993
1747238867679, 35.579, 63.842, 63.429, 5.043, 4.872
1747238872714, 28.742, 47.046, 51.143, 3.846, 9.977
1747238877754, 30.411, 49.896, 53.578, 5.803, 8.083
1747238882791, 40.889, 71.138, 71.486, 7.982, 4.918
1747238887813, 39.437, 70.208, 68.210, 5.869, 7.211
1747238892848, 32.258, 55.918, 55.279, 7.111, 6.392
1747238897888, 33.120, 56.997, 56.646, 6.950, 7.572
1747238902924, 41.783, 73.427, 70.331, 8.796, 6.818
1747238907945, 44.906, 75.308, 78.571, 9.420, 7.305
1747238912983, 35.147, 62.020, 60.362, 8.863, 4.357
1747238918024, 35.729, 62.874, 61.167, 6.681, 7.375
1747238923060, 43.007, 73.092, 74.899, 3.440, 12.820
1747238928080, 49.059, 83.499, 83.000, 13.242, 6.117
1747238933120, 38.045, 63.817, 62.851, 12.995, 6.919
1747238938161, 38.384, 64.413, 62.725, 8.695, 11.428
1747238943206, 45.334, 75.198, 71.255, 8.636, 18.058
1747238948227, 49.868, 88.690, 88.866, 4.719, 7.640
1747238953262, 38.312, 65.285, 64.950, 8.035, 8.425
1747238958302, 38.534, 64.741, 65.674, 9.251, 8.463
1747238963339, 43.240, 73.757, 74.801, 8.609, 6.636
1747238968358, .399, .399, .399, .598, .598
1747238973377, .399, .399, .399, .200, .399
1747238978397, .448, .596, .399, .200, .597
1747238983418, .399, .399, .398, .597, .200
1747238988436, .498, .597, .597, .399, .597
1747238993456, .299, .199, .200, .199, .399
