Time (s), CPU TOTAL, CPU 0, CPU 1, CPU 2, CPU 3 
1747315972248, 8.295, 23.676, 3.094, 2.383, 2.825
1747315977264, .399, .398, 0, .399, .796
1747315982281, .449, .598, .399, .400, .400
1747315987299, .498, .597, .795, .398, .598
1747315992316, .549, .597, .800, .399, .400
1747315997334, .598, .399, .399, .598, .798
1747316002352, .499, .400, .399, .598, .796
1747316007370, .598, .598, .400, .200, .600
1747316012388, .499, .399, .597, .400, .601
1747316017406, .750, 1.002, 1.000, .598, .996
1747316022425, 1.989, 3.092, 2.669, .806, 1.219
1747316027443, 3.782, 6.412, 6.400, 1.217, .819
1747316032463, 4.609, 7.509, 8.627, .816, 1.221
1747316037483, 5.899, 10.271, 10.597, 1.422, 1.224
1747316042503, 9.364, 16.572, 15.399, 2.040, 1.867
1747316047521, 8.374, 14.643, 14.503, 2.474, 1.458
1747316052542, 8.167, 13.953, 13.680, 1.851, 1.859
1747316057562, 8.721, 15.325, 15.370, 2.044, 1.652
1747316062583, 13.464, 22.777, 22.634, 3.086, 2.777
1747316067601, 11.773, 20.226, 20.817, 2.708, 1.446
1747316072622, 10.473, 18.076, 18.320, 2.489, 1.673
1747316077643, 10.900, 19.238, 18.582, 2.702, 1.687
1747316082666, 14.263, 26.011, 23.459, 3.601, 1.545
1747316087684, 11.853, 21.242, 20.883, 2.365, 1.702
1747316092707, 11.472, 19.880, 19.839, 3.144, 2.188
1747316097731, 12.012, 21.230, 20.202, 2.531, 2.222
1747316102756, 16.843, 28.893, 28.686, 4.635, 2.702
1747316107774, 14.051, 26.789, 24.066, 2.777, 1.754
1747316112801, 13.791, 25.406, 22.997, 3.624, 1.742
1747316117830, 13.842, 26.262, 23.045, 3.023, 1.965
1747316122856, 19.145, 34.446, 33.403, 3.956, 2.283
1747316127874, 19.365, 33.730, 34.274, 3.964, 2.283
1747316132902, 16.482, 29.352, 28.716, 3.862, 2.004
1747316137929, 17.671, 31.781, 30.769, 4.059, 2.000
1747316142955, 24.814, 45.362, 42.424, 5.168, 2.217
1747316147975, 24.226, 42.406, 42.690, 4.042, 2.398
1747316153005, 21.832, 36.039, 39.238, 3.609, 2.689
1747316158036, 22.888, 37.769, 41.308, 3.854, 2.689
1747316163067, 29.894, 54.296, 50.303, 5.298, 2.347
1747316168087, 27.727, 49.126, 48.323, 5.057, 1.814
1747316173117, 25.235, 42.084, 44.380, 4.697, 2.380
1747316178151, 27.691, 45.197, 47.504, 5.960, 2.941
1747316183185, 36.152, 60.302, 60.600, 5.215, 3.645
1747316188204, 35.188, 58.394, 56.906, 5.995, 4.155
1747316193241, 30.206, 49.626, 51.301, 5.790, 3.381
1747316198273, 30.320, 50.374, 52.700, 4.687, 3.605
1747316203309, 41.121, 67.631, 66.304, 6.382, 3.703
1747316208328, 39.915, 65.265, 64.981, 6.993, 4.761
1747316213368, 33.835, 54.528, 55.393, 7.256, 3.896
1747316218413, 34.196, 55.009, 56.545, 6.682, 4.050
1747316223445, 42.938, 71.454, 70.802, 7.500, 3.037
1747316228464, 44.105, 76.181, 68.301, 5.429, 6.406
1747316233502, 35.943, 59.963, 59.629, 6.621, 4.176
1747316238540, 35.862, 59.149, 60.186, 6.422, 5.084
1747316243578, 46.182, 75.367, 76.779, 5.275, 6.738
1747316248597, 46.955, 75.276, 76.022, 8.470, 7.880
1747316253634, 37.874, 62.121, 61.308, 9.009, 6.549
1747316258675, 38.153, 62.786, 61.742, 6.666, 8.663
1747316263711, 47.851, 78.160, 78.571, 7.780, 10.209
1747316268729, 49.324, 80.152, 82.191, 7.174, 12.732
1747316273766, 38.127, 63.442, 65.612, 9.777, 5.045
1747316278800, 38.230, 63.829, 65.742, 9.192, 5.336
1747316283834, 48.572, 78.781, 80.278, 7.795, 14.833
1747316288853, 51.234, 84.691, 84.493, 7.623, 14.323
1747316293890, 39.160, 66.003, 65.873, 8.583, 8.737
1747316298926, 39.690, 65.805, 65.737, 9.761, 9.975
1747316303970, 49.862, 78.443, 78.243, 13.272, 15.748
1747316308989, 56.417, 85.400, 85.000, 15.207, 23.291
1747316314033, 8.211, 12.549, 12.524, 2.834, 3.941
1747316319051, .648, .994, .598, .400, .598
1747316324069, .697, .800, .400, .598, .399
1747316329086, .499, .994, .795, .597, .598
1747316334102, .698, .598, .600, .200, .400
1747316339120, .449, .597, .400, .598, .596
1747316344137, .598, .399, .796, .600, .400
1747316349155, .549, .400, .399, .598, .796
1747316354173, .648, .597, .597, .600, .400
1747316359190, .399, .399, .200, .798, .597
1747316364207, .648, .598, .795, .601, .598
1747316369225, .449, .597, .399, .598, .597
