#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      167.0    66.8    59.1   107.6   118.9   162.4   176.7   184.7   190.8   198.4   209.1   227.6   290.6   921.3  2098.5   4970.8     5000  1747316016751  1747316021976
read      177.6    57.4    68.9   112.9   126.6   174.7   190.4   199.1   205.6   213.8   224.7   243.7   296.6   848.2  1984.8  10067.0    10000  1747316023479  1747316028694
read      185.2    77.8    63.8   112.3   125.9   182.9   199.9   209.9   216.6   225.6   235.4   255.0   310.5   857.2  2878.6  15029.4    15000  1747316030197  1747316035385
read      188.3    59.8    63.8   111.2   124.5   188.9   206.6   215.8   222.9   231.2   242.3   260.7   310.2   564.0  2207.1  19833.0    20000  1747316036888  1747316042075
read      193.6    58.6    63.8   111.5   124.2   195.0   215.1   225.5   232.3   241.3   252.8   272.3   323.9   458.9  2068.1  25012.4    25000  1747316043578  1747316048766
read      197.7    85.5    63.8   108.8   120.7   199.3   221.1   231.7   239.4   249.1   261.8   282.8   341.5   631.3  2877.4  30082.2    30000  1747316050270  1747316055455
read      194.7    76.6    63.8   107.5   118.7   197.0   220.2   231.2   238.8   248.5   260.4   278.8   330.2   465.9  2483.9  34970.8    35000  1747316056958  1747316062143
read      196.7    59.5    63.8   105.5   116.6   201.2   225.8   236.8   245.5   254.3   267.3   286.4   332.6   436.7   917.4  39918.4    40000  1747316063646  1747316068832
read      199.2    89.8    59.1   104.8   115.7   201.5   229.1   241.9   250.8   261.3   273.3   294.1   346.4   658.9  2842.6  45023.6    45000  1747316070335  1747316075522
read      201.3    67.7    59.1   105.5   116.4   203.7   234.4   248.2   257.4   268.2   281.4   301.5   350.3   467.1  1163.0  50044.6    50000  1747316077025  1747316082211
read      203.8    80.8    68.9   104.6   115.5   204.5   237.9   252.5   262.4   272.7   287.2   309.3   368.9   521.8  2399.0  55065.2    55000  1747316083714  1747316088901
read      202.2    71.3    63.8   105.0   115.3   199.6   237.7   253.7   264.2   274.9   289.8   312.1   365.9   471.6  1073.6  59888.8    60000  1747316090405  1747316095591
read      203.4    76.3    63.8   103.5   113.6   199.5   240.6   257.7   268.3   280.2   294.6   317.8   374.6   497.1  1647.6  64777.2    65000  1747316097094  1747316102282
read      205.3    78.8    63.8   102.0   112.5   200.4   243.6   261.4   272.2   284.9   299.0   323.4   390.7   530.6  1334.4  70050.0    70000  1747316103786  1747316108972
read      204.3   205.5    63.8   101.8   111.9   194.3   239.8   258.9   270.4   283.7   299.0   325.2   400.8   551.4  2164.0  74878.8    75000  1747316110475  1747316115663
read      204.6    90.0    63.8   101.6   111.6   194.8   242.3   262.5   274.3   288.1   304.6   330.6   398.4   547.5  2946.4  79852.4    80000  1747316117167  1747316122354
read      200.8    79.2    63.8   101.2   111.1   188.7   236.1   258.1   271.1   285.4   301.7   327.6   394.8   524.2  1105.5  84969.6    85000  1747316123857  1747316129043
read      202.3    84.2    68.9   100.7   110.5   189.2   237.8   260.6   274.0   288.6   306.3   333.9   400.1   575.0  2243.0  90064.4    90000  1747316130547  1747316135731
read      202.6    83.4    63.8    99.7   109.8   188.5   237.4   261.6   275.7   291.0   310.1   339.3   412.6   575.3  1336.2  94925.1    95000  1747316137234  1747316142420
read      201.0    87.2    63.8   100.2   110.1   185.5   233.4   258.8   273.8   289.6   308.8   337.7   407.9   586.0  2179.9 100190.8   100000  1747316143923  1747316149109
read      197.9    83.6    63.8   102.0   111.6   181.1   225.3   251.3   267.6   284.5   304.3   334.8   408.3   580.4  1330.2 105105.7   105000  1747316150613  1747316155801
read      201.8    90.2    63.8   101.4   111.2   184.8   232.4   258.6   274.3   290.7   310.8   341.3   417.8   621.4  1696.3 109929.6   110000  1747316157305  1747316162491
read      198.9    83.9    63.8   100.7   110.5   181.2   227.6   254.5   270.7   287.8   308.0   338.8   416.3   618.3  1732.3 114859.6   115000  1747316163995  1747316169183
read      196.9    95.3    63.8   102.6   112.2   178.2   220.7   247.0   264.9   283.4   305.0   337.9   414.8   586.5  2055.7 119912.2   120000  1747316170687  1747316175873
read      199.3    80.7    59.1   102.8   112.7   181.0   224.6   251.1   268.7   287.3   309.5   341.9   423.4   609.3   922.0 125032.2   125000  1747316177376  1747316182562
read      194.7    86.3    63.8   103.0   112.6   176.4   215.8   240.7   259.3   278.4   300.7   335.1   410.2   602.0  1374.7 129790.1   130000  1747316184065  1747316189250
read      199.3    84.9    63.8   104.1   114.3   180.7   221.5   246.9   264.9   284.5   308.3   343.7   426.6   689.4  1408.0 134824.2   135000  1747316190753  1747316195939
read      199.7    97.0    68.9   105.3   115.5   181.3   220.2   245.0   263.2   282.8   306.8   342.7   426.5   690.4  2318.9 139874.8   140000  1747316197442  1747316202626
read      200.6    82.2    63.8   107.5   118.0   183.0   221.4   245.3   262.9   282.4   306.2   342.2   425.6   667.1  1091.6 145211.9   145000  1747316204130  1747316209316
read      197.7    85.5    63.8   107.6   117.7   180.3   216.0   238.1   255.5   274.9   299.3   338.1   425.3   678.1  1684.1 150022.2   150000  1747316210820  1747316216007
read      205.9    88.4    63.8   108.9   119.8   188.3   227.0   250.3   267.5   287.2   312.7   352.9   444.3   772.0  1999.2 154975.7   155000  1747316217510  1747316222698
read      221.9   141.9    63.8   114.7   127.7   201.7   242.1   266.8   285.2   308.2   339.7   391.8   505.5   741.8  2243.4 160081.9   160000  1747316224201  1747316229387
read      209.2    97.7    63.8   113.3   125.3   192.5   228.8   250.8   267.3   286.8   312.4   353.6   447.9   720.3  3144.7 164767.2   165000  1747316230890  1747316236077
read      224.0   100.9    68.9   121.3   135.2   208.7   245.3   267.2   283.6   303.6   331.0   374.2   471.7   685.0  2490.4 169965.2   170000  1747316237581  1747316242768
read      219.6    96.6    68.9   117.2   130.2   201.6   238.1   260.8   277.1   298.1   328.3   379.6   504.9   789.9  2023.3 175045.5   175000  1747316244272  1747316249459
read      222.0    96.0    68.9   121.3   134.8   205.5   240.5   262.1   277.8   297.8   326.6   374.6   493.2   753.7  2467.8 179593.6   180000  1747316250963  1747316256151
read      244.4    94.7    68.9   133.1   149.4   230.2   267.9   289.9   306.7   327.0   355.0   400.2   503.3   782.3  2490.1 184697.9   185000  1747316257656  1747316262844
read      250.0    91.9    74.4   139.4   156.1   237.5   273.9   295.0   311.4   331.1   357.7   399.7   497.5   712.2  1947.7 189808.4   190000  1747316264346  1747316269532
read      273.9   109.2    68.9   142.3   161.4   258.3   304.8   332.1   352.1   375.7   405.4   451.9   544.2   761.2  2834.0 194493.6   195000  1747316271035  1747316276221
read      289.0   108.8    68.9   158.1   178.6   277.9   320.3   344.2   362.2   383.0   409.5   453.0   545.8   866.3  2393.6 196684.4   200000  1747316277725  1747316282911
read      301.7    94.1    68.9   174.1   198.2   295.9   332.0   351.9   366.8   384.8   406.9   445.4   534.6   742.3  2183.1 201843.3   205000  1747316284414  1747316289600
read      313.7   125.6    74.4   177.7   202.9   307.3   345.3   366.9   382.4   400.3   425.6   464.3   555.5   827.9  4274.1 200323.7   210000  1747316291103  1747316296289
read      290.4    84.0    74.4   175.8   198.7   283.1   315.1   333.8   346.6   365.0   388.5   426.9   518.6   728.8  1670.3 208907.6   215000  1747316297793  1747316302977
read      277.7    98.3    74.4   167.5   187.6   266.2   298.0   317.4   332.9   351.4   378.0   425.4   534.6   743.4  3010.4 212763.1   220000  1747316304480  1747316309668
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 83.79%,35.18%,100.00%
