#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      167.1   162.6    74.4   111.1   119.3   159.0   173.9   183.0   189.4   198.2   210.5   232.1   301.9   515.9  9694.9   4939.6     5000  1747237469233  1747237474452
read      176.5    57.6    68.9   112.0   122.8   172.3   189.4   199.2   206.8   216.0   229.9   253.2   316.4   467.1  2033.8  10039.4    10000  1747237475955  1747237481166
read      199.6    60.7    68.9   113.5   128.8   197.4   219.2   232.6   242.6   253.6   268.3   290.2   342.6   474.9  1913.2  14915.8    15000  1747237482669  1747237487846
read      212.7    70.4    59.1   110.1   123.9   211.4   238.8   253.9   264.9   276.5   293.0   317.6   383.5   602.0  1537.2  19991.4    20000  1747237489349  1747237494525
read      206.0    87.7    54.7   105.2   116.4   203.1   231.9   247.7   258.5   271.1   288.1   314.8   388.1   685.2  2707.1  24856.4    25000  1747237496029  1747237501209
read      246.3   260.2    59.1   107.4   119.4   218.6   255.6   275.4   290.9   310.7   339.8   403.1   903.3  4176.6  7924.2  29981.0    30000  1747237502712  1747237507890
read      207.0    83.9    59.1   102.5   112.7   203.7   240.0   257.6   269.2   282.8   299.5   327.2   389.9   570.9  2547.8  35029.4    35000  1747237509394  1747237514568
read      217.2    91.0    54.7   100.6   110.9   214.4   256.1   275.4   289.2   304.6   322.7   351.7   418.0   919.8  1994.8  39798.6    40000  1747237516072  1747237521248
read      218.9    93.3    59.1   101.4   111.4   213.5   259.2   280.5   294.7   311.1   331.0   360.8   428.2   730.7  1965.1  44951.2    45000  1747237522751  1747237527926
read      214.2    88.1    59.1    99.3   109.2   207.6   254.6   275.4   290.3   307.2   327.9   359.4   428.1   579.1  1133.4  50000.2    50000  1747237529430  1747237534605
read      223.4   108.6    63.8    99.7   109.7   210.0   261.8   287.2   304.6   324.1   347.5   388.1   511.7  1058.7  2600.9  54876.2    55000  1747237536110  1747237541289
read      224.2   106.7    63.8    98.9   109.1   210.2   265.8   291.2   308.5   328.0   352.3   392.9   507.7   887.5  1990.6  60131.1    60000  1747237542793  1747237547969
read      214.2    94.3    59.1    98.1   107.5   199.8   254.0   280.8   298.5   317.5   340.5   372.7   447.9   590.6  1494.3  64874.2    65000  1747237549473  1747237554653
read      216.3    98.5    59.1    98.7   108.1   200.1   256.5   283.7   301.9   321.3   345.2   380.5   459.3   614.4  1554.3  70268.7    70000  1747237556158  1747237561339
read      225.2   122.7    63.8   100.4   110.5   204.3   263.0   293.9   314.5   337.1   364.1   403.7   512.9   884.0  2043.4  75103.7    75000  1747237562843  1747237568018
read      224.5   122.9    63.8   100.0   110.0   199.6   259.8   291.5   312.7   336.2   364.8   407.1   534.5  1193.3  3747.3  79953.9    80000  1747237569523  1747237574701
read      219.6   109.8    68.9    99.2   109.3   197.6   255.9   287.3   308.4   331.3   358.5   397.5   484.3   753.6  2210.8  85247.2    85000  1747237576205  1747237581382
read      219.8   126.3    59.1    98.8   108.6   197.2   256.3   288.8   310.8   334.5   362.0   400.2   485.3   676.9  2288.0  89976.9    90000  1747237582885  1747237588062
read      225.0   108.5    63.8   101.0   111.1   200.9   261.9   295.8   318.2   342.4   370.4   412.1   506.0   753.2  1753.5  94849.4    95000  1747237589566  1747237594743
read      224.4   116.5    63.8   101.8   111.9   198.1   257.6   292.1   315.9   341.7   371.7   416.4   510.7   701.4  3018.0  99888.2   100000  1747237596247  1747237601424
read      228.6   127.3    63.8   103.9   114.5   200.2   260.6   297.1   322.5   349.7   381.7   427.0   529.6   710.1  1834.7 105013.2   105000  1747237602928  1747237608103
read      228.3   115.6    63.8   102.9   113.4   197.4   259.1   297.0   322.8   351.0   384.5   433.1   551.7   817.8  1841.2 110174.2   110000  1747237609609  1747237614785
read      229.7   119.5    63.8   104.5   115.3   198.3   257.8   297.2   324.9   354.4   388.6   435.5   542.1   757.9  2800.0 114786.9   115000  1747237616289  1747237621465
read      248.0   134.0    63.8   108.0   120.3   214.8   279.2   321.4   349.9   380.6   418.0   475.1   624.6  1001.7  2528.5 119928.7   120000  1747237622968  1747237628145
read      260.4   152.3    59.1   111.4   124.3   218.0   288.1   335.9   368.5   403.4   448.4   522.0   706.8  1118.0  4191.8 124877.4   125000  1747237629650  1747237634825
read      245.3   129.5    68.9   109.8   121.7   208.0   270.3   315.5   346.9   380.1   419.5   479.4   633.4   924.5  1995.8 130147.5   130000  1747237636330  1747237641512
read      266.0   159.7    63.8   112.5   125.9   217.2   287.8   338.4   373.6   413.2   465.3   556.7   790.0  1255.4  2165.5 134940.8   135000  1747237643017  1747237648192
read      392.2   415.2    74.4   132.7   149.9   225.9   280.4   375.9   510.6   716.3  1016.3  1332.0  1671.4  3185.0  7415.2 139214.2   140000  1747237649697  1747237654872
read      413.5   453.9    68.9   139.2   155.0   224.0   274.9   373.4   550.2   800.6  1167.5  1395.6  1849.1  3390.0  7937.8 142737.5   145000  1747237656376  1747237661554
read      475.0   549.1    68.9   151.4   172.2   246.4   292.9   363.1   644.0  1118.1  1343.6  1488.7  2594.8  4369.0  7985.2 136595.1   150000  1747237663058  1747237668235
read      457.2   569.7    68.9   149.2   166.9   234.2   274.8   325.1   494.2   945.2  1311.2  1496.8  2842.2  4620.8  8033.2 142102.5   155000  1747237669740  1747237674915
read      468.3   576.0    68.9   152.8   172.0   240.5   282.1   333.2   522.5  1021.5  1329.5  1511.8  2839.0  4653.6  8059.3 138934.8   160000  1747237676419  1747237681597
read      465.7   565.7    68.9   145.0   162.9   237.7   294.9   392.0   594.0   930.3  1294.5  1502.3  2878.2  4392.0  8008.9 139479.2   165000  1747237683101  1747237688277
read      470.9   570.1    63.8   150.9   170.6   241.1   284.4   342.9   557.0  1040.9  1342.2  1537.8  2748.5  4714.1  8022.5 138326.2   170000  1747237689782  1747237694957
read      463.6   576.0    68.9   149.6   167.9   243.5   292.0   358.0   559.1   886.0  1269.5  1498.0  2861.7  4946.3  8135.4 140425.2   175000  1747237696462  1747237701639
