Time (s), CPU TOTAL, CPU 0, CPU 1, CPU 2, CPU 3 
1747314378047, 4.255, 3.875, 4.955, 4.006, 4.183
1747314383067, .548, .399, .597, .200, .400
1747314388084, .399, .398, .399, .597, .398
1747314393101, .349, .400, .399, .399, .399
1747314398118, .548, .399, .598, .598, .598
1747314403135, .448, .795, .200, .399, .199
1747314408153, .349, .200, .199, .399, .399
1747314413171, .449, .598, .399, .400, .399
1747314418188, 2.237, 6.756, .804, .601, .603
1747314423208, 3.656, 11.873, 1.006, .202, .808
1747314428226, 7.766, 24.506, 1.616, .607, .410
1747314433243, 15.730, 43.316, 1.836, .813, 1.024
1747314438263, 14.098, 39.811, 1.818, .816, .617
1747314443284, 14.556, 41.121, 2.213, .613, .821
1747314448303, 18.577, 49.206, 1.836, .616, 1.048
1747314453321, 19.142, 50.980, 2.057, .826, .631
1747314458341, 16.112, 44.772, 2.249, 1.022, 1.257
1747314463363, 16.164, 45.135, 2.244, .617, .636
1747314468385, 19.557, 52.490, 2.469, .836, 1.495
1747314473402, 20.418, 54.627, 3.191, 1.030, 1.070
1747314478424, 16.822, 47.316, 2.708, 1.244, 1.489
1747314483447, 16.643, 47.578, 2.484, .836, .641
1747314488470, 20.121, 55.464, 2.719, .643, 1.293
1747314493487, 21.368, 59.448, 3.658, .856, 1.324
1747314498510, 17.355, 50.374, 2.845, 1.282, 1.541
1747314503534, 17.496, 50.682, 1.859, 1.282, 2.620
1747314508557, 20.649, 58.651, 2.558, .858, 1.583
1747314513575, 22.899, 63.649, 2.597, 1.075, 3.755
1747314518603, 18.051, 53.248, 3.232, 1.052, 2.202
1747314523631, 17.834, 53.697, 2.569, 1.059, 1.555
1747314528657, 21.482, 62.757, 2.558, 1.545, 2.331
1747314533675, 24.055, 70.317, 3.333, .441, 2.810
1747314538702, 18.878, 57.167, 2.591, 1.528, 2.752
1747314543730, 18.717, 57.758, 1.973, 1.089, 2.739
1747314548760, 21.901, 66.438, 2.511, 1.969, 2.122
1747314553778, 26.812, 78.745, 2.789, 2.981, 7.178
1747314558806, 19.841, 60.180, 2.666, 1.742, 4.883
1747314563837, 19.883, 60.980, 2.654, 1.742, 4.245
1747314568865, 23.151, 70.555, 3.275, 1.785, 6.142
1747314573883, 28.335, 86.064, 4.137, 4.035, 5.707
1747314578911, 21.432, 64.423, 3.275, 3.695, 6.954
1747314583940, 21.571, 65.116, 3.478, 3.246, 7.598
1747314588971, 25.041, 73.009, 6.047, 2.183, 10.741
1747314593989, 31.119, 91.338, 5.411, 2.795, 14.659
1747314599021, 21.580, 66.799, 3.603, 3.516, 6.264
1747314604052, 21.304, 66.733, 4.504, 4.121, 3.926
1747314609081, 23.122, 73.161, 6.772, 3.478, 2.325
1747314614099, 29.747, 93.824, 3.881, 3.644, 7.107
1747314619129, 21.401, 66.866, 4.545, 3.246, 5.841
1747314624160, 21.038, 66.865, 4.525, 2.789, 4.773
1747314629192, 22.112, 71.371, 3.947, 2.164, 3.731
1747314634210, 29.950, 95.409, 5.369, 3.619, 5.755
1747314639239, 21.164, 66.998, 4.751, 2.569, 4.691
1747314644272, 21.152, 66.733, 3.493, 3.239, 5.072
1747314649303, 22.161, 69.980, 3.090, 3.964, 4.976
1747314654322, 31.772, 97.011, 4.566, 2.375, 12.668
1747314659356, 21.606, 66.799, 5.088, 3.640, 5.450
1747314664388, 21.126, 66.932, 3.289, 4.282, 4.523
1747314669418, 21.774, 68.525, 2.789, 3.282, 7.175
1747314674437, 33.544, 98.409, 5.592, 4.651, 12.112
1747314679471, 21.169, 66.799, 4.405, 2.375, 5.164
1747314684503, 20.941, 66.799, 3.769, 3.426, 4.215
1747314689531, 20.725, 67.131, 4.185, 2.591, 3.496
1747314694551, 31.661, 99.602, 5.568, 3.153, 5.778
1747314699570, 21.640, 67.200, 7.127, 3.587, 3.619
1747314704599, 21.308, 66.865, 4.967, 4.130, 3.773
1747314709627, 21.166, 65.668, 3.648, 2.597, 7.819
1747314714644, .398, .398, .199, .597, .399
1747314719662, .349, .199, .598, .399, .399
1747314724678, .448, .399, .399, .200, .399
1747314729696, .349, .199, .597, .199, .399
1747314734712, .398, .399, .399, .398, .399
1747314739729, .449, .597, .400, .399, .399
1747314744746, .399, .597, .597, .398, .597
1747314749763, .399, .200, .199, .398, .399
1747314754780, .399, .597, .399, .200, 0
1747314759797, .399, .398, .597, .399, .795
1747314764814, .399, .399, .399, 0, .400
1747314769830, .399, .399, .598, .399, .399
1747314774848, .349, .399, .199, .596, .399
