#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      151.3    61.0    63.8    99.6   108.9   147.1   159.9   167.9   173.0   180.9   190.4   206.9   256.1   866.2  1822.1   4914.2     5000  1747316985886  1747316991103
read      162.5    52.3    59.1   105.0   116.3   158.9   173.6   182.5   188.3   196.7   207.2   225.4   273.0   837.7  1887.4   9961.6    10000  1747316992606  1747316997815
read      173.4    55.6    63.8   107.5   119.3   171.2   187.2   196.7   202.8   211.5   221.5   239.2   295.2   823.8  1852.6  14955.8    15000  1747316999318  1747317004502
read      180.7    57.4    59.1   106.8   119.1   180.0   197.6   207.3   214.4   223.0   233.9   253.9   312.9   457.7  1882.4  20051.2    20000  1747317006006  1747317011189
read      184.0    66.4    59.1   107.0   118.9   184.5   204.0   213.9   220.8   229.6   240.5   259.1   310.6   430.7  1225.1  24915.8    25000  1747317012692  1747317017874
read      190.4    67.9    63.8   105.4   117.3   192.1   214.0   225.1   232.5   242.0   253.4   273.0   324.7   430.2  2196.1  30044.4    30000  1747317019378  1747317024559
read      189.8    64.3    63.8   104.7   115.8   191.7   214.4   225.5   232.8   242.5   254.2   274.6   330.1   457.3  2128.5  34986.0    35000  1747317026063  1747317031247
read      194.7   127.6    63.8   103.0   113.6   196.0   221.7   233.3   242.1   252.0   265.6   287.2   343.6   464.6  7502.6  40120.4    40000  1747317032750  1747317037933
read      195.1    72.7    63.8   102.2   112.8   196.8   224.5   236.6   246.3   256.5   270.4   292.8   351.9   481.7  2462.4  45033.4    45000  1747317039435  1747317044618
read      194.9    69.3    63.8   102.0   112.3   195.1   226.1   239.8   249.3   260.3   273.4   296.4   355.7   481.8  1362.3  49863.5    50000  1747317046122  1747317051304
read      200.1    87.5    63.8   101.2   111.4   199.1   233.5   248.8   259.1   270.8   286.5   311.1   371.6   522.9  2480.9  55026.9    55000  1747317052807  1747317057989
read      199.6    70.7    59.1   101.0   111.1   197.3   235.0   251.2   262.0   273.4   289.5   313.9   372.9   473.2   929.2  59803.0    60000  1747317059492  1747317064673
read      202.1    83.9    63.8    97.9   108.0   196.6   239.6   257.8   269.2   282.7   299.4   327.4   397.2   508.2  2321.5  64929.8    65000  1747317066177  1747317071359
read      197.2    77.8    63.8    99.7   109.4   189.6   233.1   251.3   263.0   274.9   291.8   316.6   375.0   492.9   868.0  70078.2    70000  1747317072862  1747317078044
read      198.3    83.6    59.1    99.7   109.3   187.0   233.0   253.2   265.8   279.4   296.6   323.3   394.6   579.5  2236.2  75103.6    75000  1747317079548  1747317084730
read      194.4    88.0    63.8    98.5   107.7   181.9   228.3   248.7   261.3   274.0   291.6   317.0   382.6   526.1  3243.8  80108.8    80000  1747317086234  1747317091418
read      196.4    83.7    63.8    98.2   107.4   182.6   231.0   253.3   266.8   281.6   299.5   326.6   394.2   524.6  1334.7  85019.2    85000  1747317092920  1747317098102
read      193.7    86.0    63.8    98.9   108.0   177.8   224.4   247.7   262.1   276.7   295.4   322.6   393.4   549.1  2483.6  90157.6    90000  1747317099605  1747317104790
read      192.3    80.4    59.1    97.8   106.7   176.4   223.6   247.6   262.1   276.9   295.7   323.6   394.2   519.3   796.6  94856.4    95000  1747317106293  1747317111476
read      193.5    80.8    63.8    97.7   106.9   177.0   224.2   249.3   264.5   280.5   299.6   328.7   396.5   520.7  1268.0  99957.1   100000  1747317112979  1747317118163
read      195.5    93.8    63.8    98.5   107.6   176.1   223.8   250.2   266.1   283.1   303.9   335.1   414.2   727.1  2909.7 104731.4   105000  1747317119666  1747317124849
read      192.4    79.3    63.8    98.3   107.4   173.8   219.2   245.6   262.6   280.1   301.6   333.3   402.4   537.6   862.8 109988.9   110000  1747317126352  1747317131536
read      191.1    94.3    54.7    97.6   106.5   171.8   216.9   243.6   260.7   278.4   300.2   332.6   401.2   547.4  1328.5 115001.8   115000  1747317133039  1747317138220
read      196.9    88.8    63.8    99.3   109.1   178.0   222.3   248.2   265.5   284.6   308.1   343.5   429.3   602.5  2028.1 119738.6   120000  1747317139722  1747317144905
read      192.9    83.6    63.8    98.6   107.9   173.5   217.6   244.0   261.7   280.5   303.5   336.9   409.8   549.5  1518.3 125169.8   125000  1747317146408  1747317151592
read      192.2    91.1    54.7   100.8   110.1   172.0   212.9   238.9   257.2   276.6   300.9   336.0   414.0   590.9  2967.1 129853.0   130000  1747317153095  1747317158279
read      190.3    81.2    63.8    99.9   109.3   171.5   210.9   235.7   254.0   273.2   297.1   332.9   410.3   605.0  1274.7 135115.2   135000  1747317159781  1747317164965
read      192.3    84.4    63.8   101.7   111.2   173.1   211.8   236.0   254.0   273.9   299.1   336.2   416.8   636.6  2175.5 140084.0   140000  1747317166468  1747317171651
read      190.2    81.3    63.8   102.4   111.9   172.2   208.7   231.9   249.2   268.9   293.5   329.6   405.4   602.0  1478.6 144673.6   145000  1747317173154  1747317178339
read      199.9   101.6    63.8   104.6   114.7   179.5   218.8   243.6   261.9   283.2   310.9   353.7   454.1   673.2  1990.2 149732.2   150000  1747317179842  1747317185024
read      192.9    79.5    63.8   104.8   114.7   175.3   210.6   232.7   249.8   269.6   295.2   334.6   416.7   608.4  1316.9 154956.3   155000  1747317186527  1747317191711
read      195.7    77.8    59.1   106.4   116.8   179.1   214.0   235.1   251.7   271.3   296.7   336.6   420.8   623.2  1567.7 160164.8   160000  1747317193214  1747317198397
read      191.6    74.0    63.8   106.2   116.1   175.2   208.7   229.7   245.6   264.7   289.9   328.5   407.6   575.9  1331.3 164979.2   165000  1747317199901  1747317205085
read      202.3    88.7    63.8   111.2   122.5   186.5   220.9   241.5   257.0   275.5   301.5   341.6   426.0   685.1  1617.6 169708.6   170000  1747317206588  1747317211772
read      202.0    79.2    63.8   112.0   123.2   186.4   220.1   240.2   255.4   274.2   300.0   341.8   429.8   626.6  1906.0 174951.9   175000  1747317213275  1747317218457
read      209.1    86.1    68.9   114.9   127.7   195.0   228.8   248.8   264.1   282.8   308.1   346.9   432.8   647.4  2450.3 179794.4   180000  1747317219960  1747317225146
read      211.2    81.1    68.9   117.9   130.5   196.9   230.1   249.8   265.1   283.9   309.5   350.2   441.4   664.7  1767.6 184824.4   185000  1747317226648  1747317231830
read      231.8    86.2    68.9   129.1   143.8   218.6   253.4   274.1   290.4   310.0   336.1   377.4   468.8   647.4  1546.7 189851.5   190000  1747317233334  1747317238517
read      228.8    80.2    68.9   130.3   145.0   217.0   249.4   268.9   283.7   301.6   326.2   367.1   457.2   670.2  1601.1 195022.2   195000  1747317240020  1747317245204
read      256.2    91.8    68.9   140.1   157.4   243.7   282.6   304.9   320.8   341.9   368.9   412.0   509.3   729.2  1581.4 199414.8   200000  1747317246707  1747317251889
read      268.0   115.1    68.9   133.1   150.1   243.8   301.9   337.0   361.2   387.7   419.2   463.8   551.0   733.5  2469.2 200169.2   205000  1747317253392  1747317258578
read      258.9    94.8    68.9   138.3   154.8   244.9   288.6   313.3   331.4   352.7   380.5   424.0   511.0   697.0  1784.8 204483.3   210000  1747317260082  1747317265265
read      282.3   105.1    68.9   147.4   165.6   265.1   317.6   346.2   367.0   391.0   421.6   467.8   575.1   745.3  1427.9 203485.9   215000  1747317266768  1747317271951
