#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      177.2    97.4    74.4   113.7   124.8   169.8   186.5   196.4   203.0   212.9   226.2   250.6   353.3  1120.5  3925.1   4971.6     5000  1747237875237  1747237880452
read      181.0    48.1    74.4   117.3   129.8   178.2   194.3   202.9   210.8   218.9   231.0   250.7   304.5   485.2  1285.2   9967.0    10000  1747237881956  1747237887165
read      189.2    63.0    59.1   113.3   127.0   186.5   204.8   215.7   224.0   233.2   246.8   268.5   335.8   521.3  2313.5  14949.4    15000  1747237888669  1747237893846
read      203.2    83.8    68.9   112.8   126.5   199.6   223.7   236.0   246.2   257.2   272.0   295.7   374.5   679.0  2376.3  19987.4    20000  1747237895350  1747237900527
read      194.2    63.1    59.1   108.8   120.2   194.0   215.9   227.9   235.6   246.9   260.7   283.8   348.4   501.0  1725.6  24955.6    25000  1747237902032  1747237907210
read      199.7    77.2    63.8   105.1   116.3   200.6   225.6   238.5   248.2   259.0   272.4   294.9   359.8   544.5  2300.5  29946.2    30000  1747237908714  1747237913890
read      199.9    68.9    63.8   105.6   115.8   201.4   228.7   242.1   251.2   262.4   275.0   297.0   359.8   538.5  1455.9  34970.4    35000  1747237915394  1747237920570
read      201.2    72.9    63.8   103.7   113.6   203.3   232.4   246.5   255.7   267.3   281.5   305.3   368.6   530.6  1721.9  39883.6    40000  1747237922074  1747237927254
read      205.1    77.1    63.8   101.9   111.8   205.2   240.3   255.9   267.0   279.2   294.7   319.5   391.6   547.0  1557.8  44903.0    45000  1747237928759  1747237933935
read      208.2   214.5    59.1   103.5   113.3   204.8   240.6   256.7   267.8   280.3   296.0   321.9   400.3   753.2 16566.1  49908.6    50000  1747237935440  1747237940618
read      206.8   201.9    63.8   102.0   111.7   201.7   240.8   257.9   269.2   282.4   298.5   325.4   397.8   611.4 14787.0  54990.0    55000  1747237942122  1747237947298
read      209.4    96.5    63.8   103.0   112.5   203.2   249.2   268.0   280.3   293.7   311.1   337.5   404.9   639.0  2576.8  59892.4    60000  1747237948802  1747237953978
read      211.3   137.7    63.8   101.8   111.3   201.4   251.3   271.2   284.3   298.2   316.3   343.9   425.9   675.7  4571.8  65024.4    65000  1747237955482  1747237960663
read      212.3    89.7    68.9   102.0   111.6   200.5   255.1   276.7   290.7   306.3   324.6   354.8   436.1   627.6  1334.9  70003.0    70000  1747237962167  1747237967345
read      205.0    90.9    63.8   100.9   110.2   189.5   243.0   265.4   279.2   294.4   314.0   343.9   436.6   631.4  1587.1  74975.4    75000  1747237968848  1747237974023
read      204.4    93.5    63.8    99.3   108.5   186.9   242.3   266.3   281.1   296.8   316.8   346.7   432.0   739.2  2112.5  79925.4    80000  1747237975528  1747237980705
read      200.7    86.2    63.8    99.4   108.4   182.6   236.1   260.9   275.4   291.7   311.9   342.4   431.1   635.6  1682.6  84887.4    85000  1747237982209  1747237987386
read      202.2    91.3    59.1   100.5   109.6   181.3   234.0   260.6   276.7   294.3   316.2   350.3   457.2   729.3  1635.2  90015.2    90000  1747237988891  1747237994067
read      206.0    94.5    63.8   100.7   110.0   184.1   240.7   269.1   286.0   304.0   325.4   358.9   449.7   647.1  1805.1  95260.8    95000  1747237995570  1747238000746
read      204.2    95.7    68.9   100.9   110.1   180.4   234.6   264.2   282.0   300.7   322.3   358.6   467.0   800.6  1969.8  99997.7   100000  1747238002249  1747238007425
read      201.1    94.7    68.9   101.4   110.5   178.2   229.0   259.1   277.3   296.2   318.6   351.6   431.1   677.1  2542.8 105318.0   105000  1747238008929  1747238014104
read      202.0   101.1    63.8   101.7   110.9   177.6   225.9   256.6   276.2   297.1   321.6   359.3   457.7   735.8  3695.1 110187.7   110000  1747238015608  1747238020784
read      199.8   135.7    63.8   102.8   111.8   175.4   221.1   251.7   272.0   293.3   317.5   353.9   449.3   656.8  1569.8 115080.2   115000  1747238022287  1747238027465
read      202.8    99.2    63.8   102.9   112.3   178.8   225.7   255.6   275.5   296.9   321.1   358.9   456.7   823.5  2521.6 120048.4   120000  1747238028969  1747238034146
read      199.0    88.2    68.9   103.4   112.8   176.4   220.1   250.3   270.6   291.6   315.6   349.1   432.1   675.0  1928.1 124975.2   125000  1747238035650  1747238040828
read      202.8   100.4    63.8   104.0   113.8   178.6   222.0   251.4   272.3   295.4   321.7   362.5   473.2   820.6  1708.2 129880.8   130000  1747238042332  1747238047509
read      198.2    92.2    68.9   104.5   114.0   175.5   215.3   242.4   263.3   286.4   313.6   352.3   453.1   698.6  1490.2 134983.3   135000  1747238049013  1747238054191
read      197.5    83.9    59.1   103.6   113.2   175.8   216.0   243.2   264.0   286.9   313.7   350.8   436.1   641.2  1231.2 139806.6   140000  1747238055695  1747238060871
read      202.5    91.7    68.9   107.0   117.1   180.7   220.1   246.9   267.1   290.2   317.9   358.4   452.3   725.1  2813.8 145291.2   145000  1747238062376  1747238067560
read      201.7    90.3    63.8   108.5   118.8   181.4   218.3   243.5   263.2   286.0   313.7   352.8   440.7   679.5  1787.1 150046.2   150000  1747238069065  1747238074243
read      207.2   100.8    68.9   109.7   120.3   185.3   223.5   248.6   268.1   291.5   320.4   365.7   482.6   894.5  2675.3 154790.2   155000  1747238075748  1747238080925
read      214.8    96.4    63.8   112.3   124.0   192.5   232.8   259.5   279.5   304.1   335.2   382.8   500.5   804.2  1367.6 159928.0   160000  1747238082430  1747238087607
read      216.4   116.5    59.1   113.1   125.1   192.3   230.0   254.6   273.7   297.4   330.0   384.0   565.1  1101.2  4217.1 165131.2   165000  1747238089111  1747238094288
read      209.0    94.9    68.9   113.8   126.3   191.1   225.9   248.0   265.4   286.6   314.0   356.5   457.8   737.0  3350.9 170062.4   170000  1747238095792  1747238100970
read      219.3   107.0    63.8   117.4   130.1   198.1   234.2   258.1   276.3   299.5   331.5   384.5   529.7   824.3  4089.8 175087.8   175000  1747238102475  1747238107652
read      215.1    96.9    68.9   118.6   131.4   198.0   231.9   253.2   269.8   290.3   317.3   362.4   482.1   790.0  1929.2 179986.8   180000  1747238109157  1747238114333
read      236.7   117.5    63.8   125.3   139.5   212.7   250.7   274.9   294.4   318.8   354.3   418.6   624.6  1167.3  2678.5 184995.5   185000  1747238115838  1747238121014
read      236.6   100.0    68.9   127.8   142.6   218.5   255.7   278.3   295.6   317.5   346.7   399.2   553.3   951.0  1707.1 189787.2   190000  1747238122519  1747238127703
read      258.6   146.8    59.1   129.6   144.4   223.0   267.6   297.8   323.4   358.8   409.6   502.8   756.6  1467.5  3433.6 187086.6   195000  1747238129208  1747238134384
read      309.2   145.1    74.4   173.8   196.8   293.2   332.7   356.2   373.6   397.0   429.4   488.6   670.4  1145.1  3543.3 197108.6   200000  1747238135889  1747238141068
read      291.0   120.1    74.4   156.9   176.8   271.7   315.7   342.3   363.3   389.2   424.8   485.0   647.5  1048.3  2093.3 197285.5   205000  1747238142573  1747238147751
read      302.3   116.8    74.4   165.8   187.9   284.5   326.4   351.9   371.6   397.0   431.9   495.2   665.2  1066.5  2480.8 198348.5   210000  1747238149256  1747238154434
