#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      192.7    68.6    59.1   127.4   139.2   187.2   204.6   214.8   222.5   232.3   246.7   271.1   365.1   549.0  1415.8   4934.2     5000  1747238273196  1747238278416
read      201.0   279.9    80.4   122.1   136.4   189.0   206.8   216.5   224.4   233.4   247.2   269.9   343.5  2938.8 11469.6   9946.0    10000  1747238279920  1747238285137
read      198.1    82.3    63.8   115.9   130.6   193.3   213.7   225.4   233.7   245.2   259.8   285.1   374.8   797.7  3371.4  14922.8    15000  1747238286641  1747238291816
read      197.4    61.8    68.9   112.8   126.7   197.0   217.4   228.7   236.0   247.1   260.3   281.2   340.9   548.3  1283.3  20005.0    20000  1747238293320  1747238298498
read      205.9   143.9    68.9   111.1   123.7   205.6   228.9   241.3   250.4   261.4   274.5   298.0   364.6   507.1 10020.2  25065.2    25000  1747238300001  1747238305179
read      209.9   196.8    63.8   108.0   119.5   206.8   233.7   248.5   258.8   270.9   287.6   314.9   382.4   524.8 11300.6  29734.9    30000  1747238306683  1747238311858
read      206.8    77.6    68.9   106.9   117.9   208.8   235.5   249.7   259.5   270.6   285.7   310.2   373.9   571.8  2677.2  35029.2    35000  1747238313363  1747238318538
read      211.4    78.1    63.8   106.3   117.2   213.5   244.8   260.3   270.5   283.0   297.3   321.7   389.2   548.9  2316.4  40023.0    40000  1747238320042  1747238325218
read      215.7    92.1    63.8   105.2   115.8   214.1   249.1   265.7   276.6   290.7   309.5   342.5   467.2   730.6  2303.1  45081.4    45000  1747238326723  1747238331902
read      211.0    90.9    63.8   102.2   112.4   210.4   248.6   265.4   276.0   289.4   305.9   333.1   416.1   693.0  2616.4  50052.0    50000  1747238333406  1747238338583
read      212.2    81.3    63.8   103.1   113.4   210.5   250.9   269.1   281.6   295.3   313.6   341.1   411.3   576.0  1237.3  54745.0    55000  1747238340087  1747238345265
read      213.5    93.4    63.8   102.6   112.6   208.5   253.6   272.9   286.1   300.4   318.6   346.6   419.7   634.6  2591.3  60038.0    60000  1747238346769  1747238351948
read      210.3    84.8    59.1   100.1   110.0   203.0   253.2   273.3   286.7   301.2   319.3   347.4   419.3   567.6  1151.3  65064.4    65000  1747238353452  1747238358627
read      208.7    90.9    54.7   101.4   110.9   197.1   247.9   269.5   283.5   298.3   317.7   346.2   421.0   689.7  1543.7  70106.8    70000  1747238360131  1747238365307
read      208.0    86.6    59.1   100.4   109.9   194.1   248.9   271.3   285.7   301.3   319.9   349.7   425.7   609.2  1236.4  74899.3    75000  1747238366810  1747238371987
read      208.5    90.5    59.1   101.1   110.6   192.4   247.6   271.3   286.2   302.3   321.1   353.3   438.3   653.0  1490.8  80067.4    80000  1747238373492  1747238378670
read      205.1    94.7    63.8    99.7   109.1   187.0   242.4   268.0   283.6   300.0   319.5   350.5   427.8   617.2  2112.6  84737.6    85000  1747238380174  1747238385349
read      203.1    92.6    63.8    99.7   108.7   182.9   238.1   265.3   281.9   299.4   320.0   352.5   427.6   594.0  2396.7  90010.8    90000  1747238386853  1747238392030
read      201.0   128.9    63.8    99.6   108.7   179.6   232.3   260.8   277.8   295.4   316.4   346.2   419.5   605.1  1855.1  95087.2    95000  1747238393534  1747238398711
read      211.2   122.6    59.1   102.6   111.9   183.0   234.3   264.8   284.3   306.0   333.7   384.2   562.3  1164.3  3359.9 100141.8   100000  1747238400214  1747238405390
read      217.7   129.3    63.8   103.6   113.6   188.8   242.0   272.7   292.1   313.5   340.7   390.1   590.8  1523.8  3572.9 105057.0   105000  1747238406893  1747238412067
read      206.7    99.4    63.8   102.0   111.4   182.3   233.9   265.3   284.7   305.1   329.9   367.6   467.6   810.4  2363.8 110175.0   110000  1747238413571  1747238418747
read      206.6   111.6    50.7   103.2   112.5   180.2   228.8   259.7   280.0   301.7   327.4   367.9   498.7  1142.1  2988.9 114969.8   115000  1747238420251  1747238425428
read      227.6   189.4    63.8   105.4   115.5   188.7   240.9   272.9   295.0   319.8   352.7   415.5   787.4  2469.7  5790.6 120103.8   120000  1747238426931  1747238432106
read      204.3   100.1    59.1   103.7   113.5   180.4   226.1   256.3   276.5   298.0   324.0   362.7   467.8   815.6  2220.3 125109.0   125000  1747238433609  1747238438786
read      202.8    92.5    59.1   105.0   114.7   179.1   221.3   249.4   270.4   294.2   322.1   365.4   482.9   700.1  1375.2 129926.6   130000  1747238440290  1747238445465
read      213.5   122.8    68.9   108.3   118.6   186.7   230.9   260.1   281.4   306.2   336.8   385.9   543.4   950.5  4167.6 134778.9   135000  1747238446970  1747238452147
read      217.9   117.9    59.1   108.6   119.0   188.2   234.0   264.6   287.2   313.2   345.1   399.7   591.4  1320.2  2433.8 139784.4   140000  1747238453651  1747238458830
read      229.5   142.1    68.9   111.3   122.8   196.0   241.3   271.6   294.7   322.8   362.2   436.5   695.1  1646.1  3538.8 145055.9   145000  1747238460334  1747238465515
read      223.2   145.9    63.8   112.2   123.7   192.8   233.7   261.6   283.2   309.6   344.5   405.8   642.2  1784.6  4510.7 150017.4   150000  1747238467020  1747238472204
read      221.4   105.5    68.9   114.6   127.4   198.1   238.1   265.0   285.0   309.1   339.9   390.8   554.2  1052.4  2433.1 155127.3   155000  1747238473708  1747238478885
read      222.9   107.9    68.9   116.2   129.1   199.4   239.3   265.6   285.4   309.8   341.9   395.2   549.8   982.2  2905.9 160113.1   160000  1747238480390  1747238485567
read      216.7   103.4    63.8   116.6   129.0   195.7   232.4   256.5   274.8   298.1   329.5   379.8   512.9   816.4  2075.3 165014.2   165000  1747238487071  1747238492252
read      238.6   122.0    63.8   122.0   136.7   213.7   255.1   281.3   301.1   326.1   361.3   423.4   632.8  1287.8  2877.2 170219.8   170000  1747238493757  1747238498936
read      247.1   124.9    74.4   127.8   142.3   221.7   264.0   290.6   311.5   337.8   374.4   441.3   644.7  1165.1  2982.4 175118.0   175000  1747238500440  1747238505617
read      232.7   100.8    68.9   125.1   139.7   213.8   251.3   273.9   291.9   314.0   343.5   395.1   544.9   991.5  2407.2 180024.1   180000  1747238507121  1747238512301
read      251.9    95.4    68.9   136.8   153.5   237.0   275.8   298.8   316.1   337.3   365.7   411.8   530.6   855.5  1899.4 184927.9   185000  1747238513805  1747238518986
read      282.6   126.7    74.4   151.1   170.3   263.3   305.9   331.5   351.0   375.8   410.5   469.4   637.8  1233.8  2718.2 187721.6   190000  1747238520490  1747238525669
read      254.8   123.2    74.4   141.9   158.9   236.8   273.2   295.1   312.7   334.7   365.7   420.9   569.7   954.1  3071.1 194247.2   195000  1747238527174  1747238532351
read      286.5   119.5    74.4   154.7   175.6   272.2   312.8   336.5   354.2   375.4   405.0   458.7   613.8  1149.7  2179.4 199763.0   200000  1747238533854  1747238539031
read      265.0   113.4    74.4   139.8   156.8   243.7   286.6   312.9   333.7   360.6   397.7   462.9   613.9   885.6  1810.2 198589.7   205000  1747238540535  1747238545719
read      279.8    97.5    74.4   164.7   184.5   266.9   301.4   321.4   338.3   358.6   386.7   433.4   558.7   978.4  2039.2 207017.3   210000  1747238547222  1747238552401
read      294.3   112.9    74.4   162.9   184.3   280.7   319.7   343.1   361.4   383.3   413.4   464.7   611.5  1073.4  3356.2 202734.1   215000  1747238553905  1747238559081
read      306.1   109.8    74.4   175.3   197.0   291.1   331.9   356.5   374.4   398.4   430.5   484.7   613.7   924.1  2822.8 204664.6   220000  1747238560586  1747238565764
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 67.12%,1.00%,100.00%
