Time (s), CPU TOTAL, CPU 0, CPU 1, CPU 2, CPU 3 
1747314877121, 6.984, 16.639, 4.016, 3.133, 3.589
1747314882139, .449, .400, .598, .598, .598
1747314887155, .399, .596, .199, .199, .399
1747314892172, .498, .199, .400, .400, .399
1747314897189, .249, .399, .399, .398, .399
1747314902206, .349, .200, .399, .199, .399
1747314907223, .349, .399, .399, .398, .399
1747314912240, .499, .399, .598, .399, .796
1747314917257, .911, 2.049, .403, .202, .406
1747314922276, 1.863, 5.400, .809, .403, .607
1747314927293, 2.169, 6.772, 1.209, .806, .809
1747314932312, 3.991, 12.401, 1.012, .814, .625
1747314937329, 4.508, 14.757, 1.226, .814, .829
1747314942349, 4.501, 14.257, 1.417, 1.020, .833
1747314947369, 5.239, 16.984, 1.219, .817, 1.452
1747314952389, 7.816, 25.878, 1.659, .824, .840
1747314957406, 10.157, 31.849, 1.666, 1.026, .632
1747314962426, 10.964, 34.154, 1.649, 1.030, 1.054
1747314967447, 11.656, 36.451, 1.646, .829, .636
1747314972470, 17.244, 50.000, 1.458, 1.057, .869
1747314977488, 17.032, 49.487, 2.282, 1.050, .877
1747314982512, 15.336, 45.151, 2.301, 1.470, .856
1747314987535, 15.328, 45.662, 1.694, 1.263, 1.070
1747314992559, 20.901, 58.096, 2.789, 1.287, 1.121
1747314997577, 19.884, 56.871, 2.500, 1.902, 1.144
1747315002602, 17.204, 50.928, 2.096, 1.061, 1.111
1747315007627, 17.117, 51.330, 2.320, 1.273, 1.106
1747315012654, 22.693, 63.582, 3.913, 2.428, .904
1747315017673, 20.950, 61.669, 2.159, .865, 1.401
1747315022699, 17.962, 53.908, 2.783, 1.268, 1.594
1747315027727, 17.736, 54.754, 1.731, 1.061, 1.369
1747315032754, 23.668, 69.466, 3.063, 1.991, 1.428
1747315037772, 22.464, 67.839, 3.131, 2.237, 1.601
1747315042800, 18.434, 58.596, 1.758, 1.295, 1.555
1747315047827, 18.393, 59.325, 2.391, 1.077, 1.126
1747315052860, 24.664, 75.528, 2.649, 2.272, 2.233
1747315057879, 23.768, 74.817, 3.160, 1.830, 1.904
1747315062908, 19.315, 63.257, 2.597, 1.762, 2.336
1747315067937, 19.483, 64.176, 2.380, 1.969, 1.442
1747315072970, 26.060, 80.455, 3.982, 1.822, 3.504
1747315077988, 24.609, 78.666, 2.850, 1.301, 3.598
1747315083019, 20.248, 66.074, 5.021, 1.290, 2.380
1747315088049, 20.485, 66.468, 4.605, 1.939, 3.917
1747315093079, 27.222, 83.665, 8.924, 3.153, 3.782
1747315098097, 26.037, 83.000, 3.547, 7.300, 3.480
1747315103125, 20.225, 66.600, 2.643, 3.648, 2.752
1747315108153, 20.485, 66.401, 2.654, 3.010, 4.597
1747315113183, 27.140, 83.067, 3.363, 5.369, 7.416
1747315118201, 26.829, 83.499, 4.328, 2.212, 8.272
1747315123231, 21.832, 66.600, 3.887, 4.595, 6.683
1747315128262, 21.875, 66.467, 2.813, 5.882, 5.778
1747315133293, 26.879, 82.270, 4.077, 4.576, 6.434
1747315138311, 25.243, 84.493, 5.099, 3.303, 1.793
1747315143338, 20.375, 66.533, 2.597, 3.397, 4.398
1747315148370, 20.741, 66.600, 2.813, 2.164, 6.466
1747315153398, 25.856, 81.474, 3.386, 3.370, 6.443
1747315158416, 27.728, 84.860, 10.091, 1.931, 4.603
1747315163448, 21.475, 66.401, 8.533, 1.691, 4.126
1747315168480, 21.307, 66.467, 5.251, 2.345, 5.839
1747315173510, 26.662, 80.876, 2.380, 4.867, 10.880
1747315178528, 26.286, 85.800, 3.253, 3.090, 4.634
1747315183555, 20.960, 66.600, 3.303, 2.844, 5.489
1747315188586, 21.253, 66.401, 3.973, 3.913, 5.213
1747315193615, 25.301, 80.079, 4.954, 3.828, 3.971
1747315198633, 27.161, 86.427, 4.128, 3.587, 5.569
1747315203663, 20.930, 66.401, 3.125, 2.150, 6.912
1747315208691, 14.164, 46.322, 3.411, 1.263, 2.477
1747315213708, .448, .200, .399, .200, .399
1747315218724, .499, .597, .400, .597, .400
1747315223741, .448, .399, .597, .399, .399
1747315228759, .399, .597, .399, .200, .399
1747315233776, .498, .597, .399, .399, .597
1747315238793, .498, .399, .598, .399, .597
1747315243812, .399, .399, .399, .399, .200
1747315248830, .399, .399, .597, .200, .200
1747315253847, .548, .598, .598, .796, .597
1747315258865, .399, .597, .597, .200, .399
1747315263882, .399, .598, .200, .597, .399
1747315268900, .399, .200, .399, .399, .399
1747315273918, .449, .399, .399, .200, .598
