#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      192.3    74.8    68.9   104.4   115.6   189.3   210.4   222.3   231.1   241.8   255.4   280.6   345.4  1011.1  1923.7   4997.8     5000  1746483838243  1746483843447
read      218.2    91.9    63.8   114.1   134.2   215.9   238.8   251.9   261.9   273.0   289.5   315.6   381.4  1014.9  2174.6  10012.6    10000  1746483844952  1746483850151
read      235.4   261.7    63.8   116.5   136.0   228.9   255.6   270.1   280.5   292.9   309.8   336.2   396.5  1625.3 11710.2  15056.8    15000  1746483851654  1746483856826
read      222.6    92.9    59.1   113.1   127.9   222.2   250.2   265.5   275.5   289.1   305.6   332.3   393.4   539.0  2362.5  19949.8    20000  1746483858330  1746483863500
read      231.6    90.6    59.1   113.3   127.4   231.9   264.2   281.2   293.3   308.0   325.9   354.7   414.8   514.0  3454.9  25108.2    25000  1746483865003  1746483870174
read      233.1    92.6    63.8   112.5   125.8   233.3   268.3   286.5   298.9   314.1   333.3   362.6   424.3   553.8  3282.3  30060.8    30000  1746483871678  1746483876848
read      244.3   229.4    63.8   112.9   126.3   239.0   279.1   298.9   313.1   329.3   348.9   380.3   449.0   794.8 10930.0  34983.6    35000  1746483878352  1746483883521
read      247.8   101.5    68.9   113.2   127.3   247.3   291.5   313.3   328.4   345.0   367.0   398.5   466.2   585.5  2322.0  39933.6    40000  1746483885025  1746483890193
read      249.1   213.6    68.9   111.5   124.6   242.2   291.1   314.6   330.9   349.1   372.3   406.8   473.6   625.3 12062.6  45023.4    45000  1746483891697  1746483896867
read      238.3    98.7    68.9   110.5   122.7   230.4   281.0   305.5   321.6   340.8   364.5   398.5   467.0   583.7  2285.8  50045.2    50000  1746483898371  1746483903543
read      240.1   107.3    68.9   109.5   121.4   230.2   283.7   309.8   327.4   346.7   371.7   407.8   479.4   592.2  2306.6  55075.8    55000  1746483905048  1746483910217
read      241.4   114.4    59.1   109.0   121.0   228.5   283.2   310.2   328.9   350.0   376.0   415.9   498.1   924.6  2525.1  59714.4    60000  1746483911721  1746483916893
read      238.4   101.3    68.9   108.8   120.9   224.6   279.6   308.1   327.5   349.3   375.4   414.6   489.3   593.5  1830.4  64772.0    65000  1746483918398  1746483923569
read      238.7   116.6    68.9   108.0   119.9   221.5   278.7   308.8   329.0   351.5   379.6   420.8   499.8   656.3  3390.6  70195.5    70000  1746483925072  1746483930242
read      245.1   111.1    68.9   110.1   123.2   228.6   285.2   315.5   336.6   360.6   390.1   431.9   510.6   648.1  2595.9  74827.7    75000  1746483931747  1746483936918
read      235.3   104.2    68.9   108.3   120.4   217.2   272.6   302.8   323.5   347.2   375.5   417.7   496.5   616.0  1992.7  80189.4    80000  1746483938421  1746483943590
read      242.7   112.4    68.9   110.0   123.3   224.6   279.1   310.1   331.9   356.6   387.0   430.2   511.9   681.7  2546.2  85166.4    85000  1746483945094  1746483950264
read      241.3   103.7    68.9   111.5   124.8   223.3   277.0   307.9   329.5   354.2   384.3   427.3   507.9   642.0  1236.8  89836.2    90000  1746483951768  1746483956940
read      240.7   107.4    68.9   111.1   124.7   222.5   274.9   305.3   326.6   351.4   381.8   425.9   509.5   679.4  2389.8  95135.2    95000  1746483958443  1746483963612
read      248.6   112.6    63.8   113.4   128.8   231.1   284.5   314.2   335.7   360.6   391.5   435.6   528.3   682.8  3041.9  99944.7   100000  1746483965116  1746483970284
read      250.8   104.7    63.8   116.3   132.3   233.3   285.8   315.8   337.5   362.6   393.9   438.9   529.3   664.2  1176.8 104797.2   105000  1746483971787  1746483976959
read      256.1   108.5    63.8   120.0   136.9   239.3   291.5   320.5   341.7   366.6   397.5   443.1   536.6   675.0  2054.6 110028.9   110000  1746483978462  1746483983634
