#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      168.9   100.2    63.8    90.7    99.8   172.9   184.3   190.7   195.7   200.7   209.6   223.3   263.9   671.4  7642.4   4943.4     5000  1746361115885  1746361121100
read      187.3   215.9    59.1    97.9   133.8   186.4   198.8   205.9   211.6   217.2   227.0   241.1   274.8   436.4 13687.1  10028.2    10000  1746361122604  1746361127816
read      192.7    73.3    59.1   105.4   141.4   193.9   209.0   217.2   223.9   231.2   240.5   254.3   288.8   442.4  2342.4  14922.8    15000  1746361129319  1746361134501
read      205.4    68.6    59.1   127.1   143.8   207.1   227.1   236.6   244.3   252.0   262.9   276.7   310.4   390.4  2771.5  19995.8    20000  1746361136005  1746361141190
read      213.9    82.8    54.7   131.3   144.4   214.7   239.2   250.9   259.1   268.2   279.0   295.0   333.1   488.1  4174.5  24944.6    25000  1746361142694  1746361147876
read      218.8    70.0    59.1   130.5   142.4   224.7   250.9   262.7   270.1   278.7   290.0   306.5   341.3   442.2  1888.2  29970.0    30000  1746361149379  1746361154562
read      222.5    81.0    59.1   130.7   141.6   227.7   257.1   269.4   277.5   287.3   297.1   315.7   354.1   441.8  2033.5  34913.8    35000  1746361156066  1746361161248
read      225.1    70.4    59.1   132.7   142.8   229.8   262.5   275.8   285.0   294.3   307.0   321.9   359.6   429.0  1704.7  39781.8    40000  1746361162751  1746361167934
read      224.5   155.9    54.7   129.8   139.6   224.3   261.6   276.4   286.0   295.6   308.8   325.1   364.8   497.4 10606.5  44795.0    45000  1746361169438  1746361174622
read      226.9   274.9    54.7   131.2   140.7   224.7   265.5   281.6   291.4   302.3   314.9   333.9   371.0   469.3  2769.9  50058.4    50000  1746361176125  1746361181308
read      226.1    83.3    54.7   130.1   139.3   222.7   268.6   286.3   297.1   309.3   321.7   342.0   380.8   466.0  1262.0  54906.2    55000  1746361182812  1746361187994
read      231.4    84.7    54.7   133.2   141.9   224.4   275.9   295.4   307.4   319.5   334.9   355.0   394.4   463.0  2273.5  60082.6    60000  1746361189497  1746361194680
read      228.4    88.8    54.7   132.3   141.0   214.7   271.9   293.1   306.0   318.7   334.5   355.4   396.9   476.3  2896.5  64868.4    65000  1746361196183  1746361201368
read      228.2    82.6    54.7   131.6   140.2   211.8   270.6   294.1   308.3   322.5   339.1   362.2   402.4   469.4  1231.4  69878.0    70000  1746361202873  1746361208059
read      229.3    87.0    54.7   132.1   140.7   209.8   271.4   296.4   311.1   326.4   343.0   367.0   407.4   470.1  1827.8  74991.0    75000  1746361209563  1746361214747
read      229.2    88.3    59.1   132.4   140.9   205.7   268.3   296.1   312.4   329.2   346.9   371.5   420.2   494.1  1419.8  80368.4    80000  1746361216250  1746361221432
read      230.0    88.7    59.1   134.4   142.8   205.0   265.4   295.1   312.9   331.1   350.6   376.1   426.2   504.2  1270.1  85127.3    85000  1746361222935  1746361228119
read      231.1    87.7    54.7   134.5   142.8   205.6   266.0   296.7   314.8   333.4   353.7   380.4   431.1   515.7  2287.9  89985.4    90000  1746361229622  1746361234807
read      229.3   111.2    54.7   135.2   143.0   201.2   258.8   290.7   310.4   330.6   352.7   381.8   432.9   511.7  3877.8  95140.9    95000  1746361236309  1746361241494
read      230.6    99.6    59.1   135.2   143.7   203.7   257.8   289.8   310.4   331.7   355.6   387.5   442.7   551.4  2471.0  99928.9   100000  1746361242997  1746361248180
read      232.7   272.6    54.7   136.7   145.0   203.3   254.7   288.2   310.0   332.7   357.7   390.2   449.7   549.5  9950.9 104773.0   105000  1746361249683  1746361254873
read      235.3   142.5    59.1   139.2   148.0   208.5   258.9   291.2   312.6   335.4   361.5   396.0   458.5   551.1  2304.4 110056.1   110000  1746361256376  1746361261560
read      237.1    89.5    59.1   140.8   150.4   213.7   261.7   292.7   313.7   336.0   361.3   394.5   453.0   541.8  1486.8 115114.3   115000  1746361263064  1746361268247
read      242.6    98.6    59.1   143.9   153.9   219.8   267.5   297.9   318.7   340.8   366.0   398.8   460.6   552.7  2714.9 120060.1   120000  1746361269749  1746361274933
read      450.4   177.0    68.9   206.7   256.1   404.5   507.3   582.7   624.7   664.6   706.5   759.7   854.8   970.2  2992.1 124038.2   125000  1746361276436  1746361281625
read      320.6   122.7    63.8   166.7   186.3   308.1   360.6   389.6   410.5   435.6   469.0   520.6   623.6   747.7  3840.8 130122.3   130000  1746361283128  1746361288315
read      481.1   167.3   118.1   273.3   300.0   426.7   561.6   621.6   655.8   688.6   725.2   772.1   851.9   945.8  1883.4 130358.5   135000  1746361289818  1746361295006
read      514.1   195.8    80.4   284.0   325.2   441.2   592.1   685.0   722.9   759.1   795.9   845.5   924.3  1047.4  4129.8 122993.2   140000  1746361296509  1746361301694
read      456.7   161.4    93.8   259.5   284.2   423.0   542.8   584.0   609.1   634.2   665.5   705.4   782.5   907.0  3676.4 138071.6   145000  1746361303197  1746361308381
read      469.3   160.4   109.4   265.2   289.8   426.9   551.3   600.2   630.6   662.8   697.2   742.5   821.3   929.4  1732.9 136275.0   150000  1746361309883  1746361315069
read      438.4   154.6   118.1   249.0   270.3   435.4   527.2   559.1   578.8   599.5   624.8   658.8   724.8   876.2  3844.9 144056.6   155000  1746361316573  1746361321763
read      437.5   157.1    93.8   247.3   270.5   418.6   524.8   559.8   580.7   603.2   628.9   666.2   733.7   914.9  4311.6 145257.2   160000  1746361323266  1746361328451
read      439.3   147.0    93.8   249.6   270.0   446.0   530.5   559.9   577.7   595.9   620.3   648.7   710.7   824.8  2934.3 145693.8   165000  1746361329955  1746361335142
read      413.4   136.2   118.1   227.7   246.9   440.2   490.4   511.2   525.7   540.2   558.4   586.2   639.6   793.1  4001.5 154226.0   170000  1746361336645  1746361341832
read      450.3   158.1    80.4   252.2   276.8   425.8   528.1   569.7   596.4   625.6   658.7   699.4   776.9   950.5  3363.7 142843.3   175000  1746361343335  1746361348520
read      487.1   169.3    86.8   281.9   305.0   427.1   585.0   634.8   663.4   691.8   727.1   773.9   854.5   942.8  2077.0 132568.4   180000  1746361350024  1746361355210
read      430.5   158.1    86.8   239.9   262.8   426.5   507.8   539.3   560.1   582.7   610.8   648.1   728.5   925.0  4359.8 149444.5   185000  1746361356714  1746361361900
read      433.6   152.0   101.3   245.7   265.9   436.6   524.9   554.6   572.5   590.5   614.6   640.6   699.1   864.6  3782.3 148615.6   190000  1746361363404  1746361368591
read      456.1   155.0   109.4   267.5   288.6   395.1   557.1   600.8   623.7   647.3   673.6   707.3   768.8   883.9  1564.8 141403.1   195000  1746361370094  1746361375283
read      432.3   152.8    86.8   243.5   263.7   446.8   520.2   545.7   562.9   580.4   600.6   631.5   688.1   852.3  4380.1 149081.2   200000  1746361376786  1746361381972
read      459.5   160.9   127.6   263.7   284.1   428.5   555.9   591.1   612.6   634.0   664.3   709.6   816.9   936.2  3383.7 140424.0   205000  1746361383475  1746361388661
read      464.1   168.5   137.8   268.1   288.7   423.1   561.7   600.9   623.3   647.0   677.4   722.1   804.3   926.6  2818.0 139035.2   210000  1746361390164  1746361395351
read      444.2   157.1   101.3   255.2   276.1   418.4   532.3   569.5   591.4   616.0   641.0   683.2   761.4   886.6  3417.5 145133.6   215000  1746361396855  1746361402040
read      523.9   192.0   127.6   313.4   337.5   444.3   629.9   694.5   724.0   754.1   788.2   833.6   913.2  1076.1  4029.9 123381.7   220000  1746361403543  1746361408732
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 80.01%,26.50%,100.00%
