#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      195.4    80.0    68.9   109.2   122.9   192.2   211.9   222.8   231.2   241.6   255.0   278.2   341.7  1007.8  2617.7   4988.6     5000  1746486288055  1746486293262
read      200.2    76.0    68.9   111.2   126.7   197.8   217.0   228.4   235.9   247.7   262.6   287.0   344.4   974.5  2317.4   9981.4    10000  1746486294766  1746486299964
read      211.5    65.4    68.9   113.1   129.8   210.2   232.3   245.4   254.5   267.5   283.9   310.7   368.9   629.4  1555.3  15027.9    15000  1746486301468  1746486306636
read      221.5    89.5    68.9   116.5   133.4   220.2   246.3   260.8   270.9   283.7   299.4   326.9   391.4   619.1  2994.0  19936.8    20000  1746486308140  1746486313308
read      229.2   233.2    59.1   113.9   128.9   225.5   253.7   268.7   279.3   292.3   309.7   337.1   400.8   873.7 12118.6  24998.4    25000  1746486314813  1746486319981
read      228.8   215.5    63.8   111.7   125.4   225.7   256.0   271.8   283.5   296.1   314.5   343.0   406.3   669.2 11516.6  29977.6    30000  1746486321485  1746486326652
read      227.6   100.0    63.8   112.5   125.6   227.6   260.3   276.6   289.3   303.9   321.9   352.3   418.0   618.2  2355.8  34905.0    35000  1746486328155  1746486333322
read      222.9    78.2    63.8   110.3   122.2   224.3   258.1   274.8   287.6   301.5   319.1   346.3   405.8   500.1  1101.8  39845.2    40000  1746486334826  1746486339995
read      226.9    90.9    59.1   110.3   122.3   226.5   264.1   282.4   294.8   310.2   329.1   359.2   422.6   550.4  2956.9  44858.0    45000  1746486341498  1746486346667
read      222.8    81.9    63.8   108.9   119.9   220.9   260.6   279.9   293.5   309.8   329.9   361.1   425.3   512.2  1019.1  49991.2    50000  1746486348171  1746486353344
read      224.1    93.2    63.8   107.8   119.0   220.6   262.5   282.4   295.8   312.5   333.5   365.8   432.8   559.9  2854.3  54992.2    55000  1746486354848  1746486360018
read      224.6   170.3    63.8   107.0   117.9   216.2   262.1   283.5   297.7   314.9   336.6   369.4   439.9   576.8 11113.9  59982.4    60000  1746486361523  1746486366693
read      224.4    91.1    63.8   106.6   117.5   214.0   263.6   287.2   303.3   321.0   344.6   382.0   463.0   582.2  1050.0  64949.4    65000  1746486368196  1746486373364
read      221.1   105.3    63.8   105.3   115.9   210.6   261.4   284.8   300.3   318.0   340.4   372.6   437.3   545.9  1494.9  70118.6    70000  1746486374868  1746486380045
read      223.1    94.9    59.1   105.9   117.0   210.6   262.8   287.2   303.5   321.2   344.3   378.6   450.2   584.8  2240.7  74886.8    75000  1746486381548  1746486386717
read      219.0   100.0    59.1   104.8   115.4   205.1   258.3   283.1   299.3   317.5   340.4   373.0   439.5   548.3  1040.0  79926.4    80000  1746486388220  1746486393388
read      214.1    90.4    63.8   103.8   113.9   197.3   251.2   276.6   293.4   312.2   335.6   369.6   437.2   568.2  1858.0  85189.8    85000  1746486394891  1746486400061
read      216.4   104.8    59.1   103.7   114.1   199.0   253.5   279.8   296.8   315.9   339.5   373.6   449.8   587.0  2246.6  89753.4    90000  1746486401564  1746486406733
read      216.8    93.6    63.8   104.0   114.5   199.1   254.1   281.0   298.2   317.5   341.2   375.9   451.5   578.0  1176.7  94798.5    95000  1746486408236  1746486413405
