Random waveform, supplied seed
Total number of intervals = 134 (5319, 118456, 14807, 156463, 28584, 8060, 173248, 35709, 53312, 142106, 67298, 9202, 112614, 14678, 84900, 78527, 71117, 143897, 63774, 105494, 52991, 8157, 45523, 143551, 32455, 140524, 79870, 68547, 167378, 71048, 23332, 108627, 31521, 15365, 93741, 88752, 75839, 47638, 164553, 26684, 103013, 168492, 71479, 98086, 145673, 168771, 34906, 28933, 99751, 124678, 108827, 59514, 75254, 14326, 129032, 144334, 67748, 31935, 152964, 24510, 142233, 101923, 56806, 63569, 160336, 21899, 7042, 29634, 150091, 37119, 121334, 93398, 103013, 165910, 80452, 42779, 48458, 122177, 80746, 85092, 159254, 41774, 127008, 76766, 57778, 124636, 99557, 8674, 157899, 11532, 63522, 70274, 142650, 108738, 132659, 24898, 7593, 17596, 136415, 142719, 38570, 9330, 166088, 101314, 147935, 39225, 173098, 127770, 97194, 30527, 109837, 66634, 43157, 99823, 108232, 39166, 44521, 104945, 97301, 73173, 40131, 176336, 127312, 97810, 50882, 72895, 97764, 162367, 31031, 177679, 122047, 167697, 9912, 136895)
Average QPS expected = 85376
Timestamp start: 1747426289606
Timestamp end: 1747427089881

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      172.4    72.8    63.8   108.2   119.7   169.8   183.0   190.3   196.0   201.7   212.0   227.6   275.0   992.9  2152.0   5287.2     5319
read      202.1   115.7    63.8   104.7   114.5   179.2   220.2   246.4   265.7   287.6   314.2   353.1   447.8  1228.8  4126.3 118270.0   118456
read      183.8    78.4    68.9   110.4   124.0   182.3   199.0   208.7   215.5   224.2   234.5   252.5   294.3   764.9  4111.3  14796.7    14807
read      210.1    97.4    68.9   114.3   127.0   193.3   229.0   251.1   267.9   288.0   313.3   350.8   430.9   929.1  3084.4 156599.5   156463
read      192.6    59.0    63.8   105.5   116.7   193.7   217.1   229.2   237.3   248.3   261.8   282.3   323.4   403.3   932.5  28488.2    28584
read      176.0    84.7    68.9   109.0   122.9   172.1   186.6   195.5   201.2   209.8   219.4   236.0   288.3   897.9  3130.3   8085.0     8060
read      209.7    79.7    68.9   118.9   131.9   196.9   228.8   248.0   262.7   279.9   303.0   338.6   411.1   779.7  1975.2 173299.3   173248
read      198.8    66.2    63.8   104.9   115.3   200.0   227.2   240.6   250.4   262.0   275.1   297.2   348.5   591.0  1419.6  35664.7    35709
read      202.8    93.7    59.1   103.0   112.5   197.9   236.5   255.1   267.6   281.6   298.3   324.9   381.4   495.6  3837.5  53310.2    53312
read      211.5    98.8    68.9   111.9   123.5   192.5   230.7   254.5   272.1   293.2   319.8   362.1   455.0  1083.6  2537.9 142009.8   142106
read      208.2   108.4    63.8   103.7   112.8   193.5   241.4   265.0   280.4   297.6   318.9   350.9   423.9   734.3  3570.0  67209.2    67298
read      181.6    61.6    74.4   111.7   124.8   180.2   195.5   203.7   210.6   217.5   228.5   245.4   288.8   790.5  2155.2   9245.0     9202
read      208.2   104.1    68.9   106.5   116.6   186.1   229.0   255.3   274.6   297.2   325.9   368.1   459.4  1063.2  2648.2 112548.5   112614
read      191.5    66.6    68.9   112.3   125.7   190.9   209.2   218.8   226.7   234.6   247.0   265.8   310.5   783.4  1827.7  14722.0    14678
read      207.3    89.9    68.9   104.4   113.7   186.9   235.7   263.7   282.3   303.2   328.5   365.2   441.5   700.5  1169.5  84928.0    84900
read      212.0   105.5    68.9   105.0   114.6   192.7   243.6   270.1   288.3   308.9   333.9   370.0   450.5   697.9  2770.8  78371.5    78527
read      212.8    90.9    68.9   105.0   114.5   196.9   246.9   272.1   289.6   309.2   333.2   368.5   443.3   627.6  1449.8  71179.7    71117
read      227.8   112.9    68.9   118.7   132.1   207.8   248.4   272.6   291.1   313.0   341.3   386.8   500.9  1484.5  2897.8 143784.7   143897
read      212.9    97.5    63.8   104.8   114.3   200.3   249.1   272.1   288.3   306.5   328.5   362.0   434.9   636.4  1605.0  63830.8    63774
read      209.5    97.0    68.9   106.3   116.4   187.3   232.3   259.8   279.6   302.9   331.8   372.9   461.9   890.2  2490.4 105317.0   105494
read      213.6   107.4    63.8   104.7   114.2   206.7   250.2   270.8   285.1   300.8   320.2   350.1   415.4   622.9  3116.9  53024.3    52991
read      181.7    71.5    68.9   113.7   127.4   179.4   193.9   201.7   208.8   216.2   227.1   244.1   290.7   796.5  2798.6   8126.2     8157
read      213.3   103.9    68.9   105.4   115.0   210.4   248.8   267.8   280.6   294.9   313.7   341.0   400.2   693.4  3281.0  45503.2    45523
read      217.8   107.1    68.9   114.7   127.6   199.0   237.7   262.0   279.5   300.8   328.5   370.3   464.6  1096.8  3044.3 143395.8   143551
read      207.7    77.7    63.8   106.5   116.5   209.3   238.1   253.3   264.2   275.4   291.4   314.9   366.9   503.2  2799.9  32400.5    32455
read      223.6   127.2    59.1   115.7   128.7   202.4   242.5   267.4   285.8   307.8   336.8   382.7   505.3  1366.1  4741.5 140539.8   140524
read      212.2   101.4    68.9   105.5   115.1   191.9   242.7   270.4   289.3   310.4   336.1   372.5   456.0   702.4  1639.7  79904.3    79870
read      213.6    94.8    63.8   105.3   114.7   197.8   249.1   274.1   291.2   310.1   333.1   367.1   437.3   687.1  2073.3  68624.5    68547
read      244.2   105.6    63.8   131.9   148.1   230.3   269.3   291.7   308.4   328.0   354.3   395.6   489.5   976.0  2817.5 167071.7   167378
read      213.1    98.8    63.8   105.1   114.6   195.9   246.6   272.5   290.2   309.9   333.8   368.6   444.7   736.6  2426.1  71274.5    71048
read      196.3    80.2    63.8   108.4   120.6   196.2   217.9   229.5   237.1   248.1   261.3   281.7   328.9   776.3  2870.5  23269.2    23332
read      214.6   143.1    68.9   105.7   115.8   185.6   232.4   261.6   282.3   306.7   338.4   392.8   579.3  1298.6  7212.7 108429.3   108627
read      211.5    73.4    63.8   106.1   117.7   211.1   242.8   259.2   270.6   284.4   301.1   327.6   383.9   507.0  1463.4  31519.8    31521
read      218.0   226.0    68.9   107.9   121.5   195.3   221.7   235.9   247.6   261.2   279.6   312.9   846.8  3231.6  7849.4  15349.0    15365
read      270.7   252.2    63.8   106.7   118.0   209.2   287.0   343.3   382.2   421.9   467.6   542.8   941.5  3641.0  7355.6  93529.7    93741
read      260.7   223.8    68.9   105.6   116.5   208.1   284.5   336.8   372.3   408.6   451.8   514.5   718.6  3119.7  7380.9  89004.0    88752
read      249.3   160.4    63.8   102.6   112.8   211.0   284.1   328.5   358.9   391.4   429.2   484.8   630.3  1856.2  3442.8  75681.2    75839
read      245.3   177.1    63.8   102.4   112.9   221.0   277.4   308.8   330.3   354.3   383.2   427.4   592.0  2473.2  4663.9  47721.5    47638
read      292.6   281.0    68.9   129.2   146.1   242.3   289.8   316.8   337.5   363.2   398.1   470.3  1543.2  3434.4  7234.7 164647.2   164553
read      221.4    90.7    68.9   106.3   118.5   213.3   251.3   271.8   287.2   305.0   327.0   361.1   435.2   847.6  1833.7  26646.8    26684
read      229.0   138.6    68.9   107.0   117.6   195.7   249.8   283.6   309.4   341.4   383.5   446.1   590.5  1095.9  4886.6 102798.7   103013
read      233.8   125.9    68.9   125.9   140.7   217.4   254.3   275.8   292.4   312.2   338.2   379.7   482.9  1429.2  4677.0 168500.0   168492
read      211.6   111.6    63.8   104.9   114.3   194.4   244.6   269.5   286.1   304.7   327.1   361.1   438.4   970.9  3315.0  71455.0    71479
read      214.5   118.6    63.8   104.9   114.8   186.9   234.5   264.1   285.0   309.4   340.5   392.8   567.7  1209.5  2824.5  97993.2    98086
read      219.1   155.1    68.9   112.4   124.5   193.9   232.3   256.6   274.5   296.1   323.9   368.1   509.6  2297.9  4666.4 145583.8   145673
read      255.8   206.2    74.4   127.2   142.4   225.3   266.2   290.2   308.1   329.9   359.8   409.9  1212.6  3163.1  6588.5 168501.7   168771
read      227.6   111.8    63.8   103.7   115.1   218.0   260.9   283.6   299.2   317.5   340.4   373.4   464.0  1222.9  2567.0  34899.5    34906
read      224.7   130.4    63.8   103.7   115.6   215.5   255.2   275.3   289.9   306.5   326.8   359.7   464.2  1383.7  4337.5  28945.8    28933
read      266.7   183.8    68.9   108.4   119.8   208.8   288.1   350.4   392.4   434.3   483.0   557.5   769.5  2096.4  3811.8  99637.3    99751
read      336.5   402.9    68.9   115.9   130.9   226.2   275.3   306.6   332.9   372.8   528.0  1308.8  1905.7  3487.3  7663.7 124696.0   124678
read      263.1   223.3    63.8   110.3   122.1   203.6   259.7   299.3   334.4   385.5   463.9   599.6  1046.5  2564.1  6487.8 108967.3   108827
read      243.9   161.1    59.1   102.4   112.7   217.4   275.7   309.8   334.5   363.1   396.9   446.5   586.0  2118.8  3220.8  59597.8    59514
read      256.4   197.9    63.8   104.0   114.4   213.5   284.9   328.6   359.5   393.1   432.3   491.8   702.6  2678.4  4047.0  75130.5    75254
read      206.4   157.7    63.8   108.3   122.0   198.7   223.7   236.8   247.2   258.6   273.5   297.8   368.5  1490.1  7252.6  14262.2    14326
read      309.1   397.2    63.8   114.4   128.5   220.3   268.6   295.9   317.5   345.9   395.2   973.3  2172.0  3592.1  7736.5 129073.7   129032
read      214.3   118.4    63.8   112.6   124.7   194.1   232.0   255.7   273.4   294.8   322.0   365.2   463.5  1507.0  3817.4 144172.2   144334
read      247.3   165.2    68.9   103.0   113.2   215.2   280.3   318.1   345.7   377.3   414.3   466.9   608.1  2165.9  3918.3  67570.3    67748
read      232.0   146.1    63.8   104.0   115.5   218.7   261.6   284.6   300.2   317.8   340.2   373.2   500.1  2100.3  3230.0  31911.7    31935
read      282.3   309.5    68.9   121.0   136.4   226.1   274.1   303.0   324.0   350.4   388.1   461.9  1612.5  3520.8  7372.5 153047.3   152964
read      218.6   108.6    63.8   105.6   117.9   212.5   246.8   265.2   277.6   292.4   311.4   339.9   419.0  1243.3  2423.4  24576.0    24510
read      298.0   333.5    68.9   119.2   134.0   225.5   273.3   301.5   322.3   350.2   393.8   649.0  1631.0  3554.8  7310.6 142054.5   142233
read      243.8   174.1    63.8   107.4   118.4   197.5   253.5   291.7   322.0   363.8   423.6   518.9   746.8  1944.6  4360.4 102090.3   101923
read      250.2   181.8    59.1   103.2   113.6   222.7   282.3   316.8   341.7   369.4   402.0   452.3   636.6  2321.8  5107.8  56676.3    56806
read      252.2   210.9    59.1   102.7   113.0   218.8   282.1   319.0   345.8   375.6   410.7   463.3   666.2  2716.1  7816.6  63418.3    63569
read      274.1   276.4    63.8   124.1   139.9   228.6   274.5   301.5   320.8   345.1   378.8   441.1  1508.9  3444.6  7229.9 160402.3   160336
read      217.8   111.5    63.8   106.2   118.9   212.4   244.8   262.5   274.1   288.7   306.9   336.0   420.5  1104.6  2657.5  21843.7    21899
read      183.8    81.8    68.9   110.0   123.8   179.2   195.8   205.0   212.4   220.5   232.4   252.8   319.1  1262.4  2370.7   7000.5     7042
read      228.6   120.4    63.8   104.8   117.0   219.5   261.2   283.1   297.5   314.2   334.7   365.8   453.1  1519.2  3391.6  29723.5    29634
read      265.0   272.1    63.8   118.6   132.7   216.1   262.3   290.2   311.3   337.1   371.6   435.5  1505.1  3475.2  5996.0 149859.5   150091
read      233.5   122.0    59.1   103.8   115.0   221.3   267.3   292.3   309.7   329.2   353.4   390.0   494.6  1451.1  3121.1  37081.3    37119
read      366.3   444.5    68.9   118.7   134.7   233.7   282.6   315.1   345.1   406.2   804.8  1383.5  2216.7  3531.7  7693.6 121366.5   121334
read      252.3   164.9    68.9   106.5   117.3   203.8   274.4   324.1   362.8   403.9   451.9   518.1   686.5  1766.3  3417.2  93471.5    93398
read      250.3   202.4    68.9   108.1   119.0   199.1   255.5   293.7   324.7   367.7   429.6   531.1   892.1  2466.2  5694.3 103030.5   103013
read      249.8   191.5    68.9   124.9   140.0   221.0   262.3   286.9   305.3   327.7   357.9   406.0   849.3  2832.4  4801.8 166122.0   165910
read      242.6   150.3    68.9   103.7   113.8   204.7   272.8   314.6   344.9   380.3   421.9   479.7   611.1  1608.4  3479.4  80313.2    80452
read      241.2   140.2    63.8   102.9   113.8   224.2   276.5   305.7   325.3   346.7   373.2   413.7   538.2  1716.8  2932.8  42843.7    42779
read      241.8   154.7    63.8   102.7   113.2   222.0   274.8   306.1   327.8   351.7   379.9   422.4   544.8  2090.0  3480.3  48342.2    48458
read      365.3   452.5    68.9   118.7   134.7   234.3   284.6   317.3   346.9   403.8   745.2  1374.4  2294.2  3896.6  7906.2 122166.0   122177
read      240.9   171.5    63.8   104.2   114.5   203.9   265.6   301.6   329.1   363.0   404.3   468.5   641.3  2095.7  5337.0  80754.2    80746
read      253.0   169.2    68.9   105.1   115.7   206.2   280.3   328.7   363.8   400.5   443.9   506.1   686.4  1877.0  3443.6  85194.3    85092
read      274.6   325.5    68.9   124.9   140.5   228.6   273.4   298.9   317.7   340.6   371.0   424.7  1584.4  4036.4  7531.6 159156.3   159254
read      234.5   149.2    59.1   102.3   112.9   217.2   265.5   292.9   311.9   333.6   360.5   399.5   532.4  1862.5  3945.5  41817.3    41774
read      361.7   440.2    68.9   119.7   135.7   241.8   291.8   321.3   346.6   387.7   569.1  1413.8  1973.8  3733.9  7806.2 127097.7   127008
read      252.2   164.0    59.1   104.4   114.8   211.7   286.7   333.4   364.7   397.7   435.8   491.8   628.4  1937.6  3792.7  76700.0    76766
read      249.1   185.1    68.9   103.4   113.8   221.3   284.8   321.2   346.2   373.6   405.8   453.2   574.8  2278.8  7439.1  57972.3    57778
read      366.1   434.1    68.9   119.6   135.7   241.7   292.1   321.4   347.0   391.3   751.9  1425.5  1871.5  3684.1  7694.9 124299.7   124636
read      255.6   185.8    68.9   108.0   119.0   201.1   263.8   308.8   347.2   398.5   460.6   549.3   832.9  2014.9  4054.6  99425.5    99557
read      182.6    66.5    68.9   108.2   121.9   178.5   196.2   206.2   214.0   223.2   234.6   255.1   315.7   912.4  2135.8   8629.3     8674
read      309.1   371.7    68.9   129.1   146.3   246.9   295.1   321.7   342.2   367.8   402.9   479.5  2116.1  3957.0  7857.7 157820.7   157899
read      187.7    70.6    68.9   107.1   120.5   184.4   204.2   215.7   224.1   233.4   247.0   268.1   320.8   787.0  2863.9  11509.7    11532
read      249.6   176.8    63.8   102.0   112.0   217.4   284.2   323.9   350.9   380.1   414.0   463.7   614.9  2281.5  4752.5  63095.7    63522
read      250.2   171.5    63.8   102.9   113.1   214.0   285.7   328.2   357.6   388.9   425.2   476.7   602.1  2236.7  4570.6  70224.8    70274
read      316.3   361.0    63.8   120.6   136.4   234.8   287.1   316.9   340.4   371.0   423.2   973.3  1678.0  3797.9  7793.9 142524.7   142650
read      259.7   209.5    63.8   109.0   120.4   200.7   255.6   295.6   331.3   386.3   474.0   611.8   952.8  2241.0  5111.4 108755.5   108738
read      217.5   168.3    68.9   109.4   120.0   189.1   229.5   254.5   273.2   295.6   324.0   369.0   569.2  1867.0  6282.7 132735.2   132659
read      217.5   113.7    68.9   104.9   117.2   209.2   244.8   263.7   275.8   290.9   309.8   339.8   429.3  1386.1  3004.5  24837.0    24898
read      178.9   100.0    68.9   107.0   120.7   175.2   191.9   200.9   208.7   217.3   229.8   249.1   310.4   825.8  2114.8   7607.0     7593
read      204.9   122.8    68.9   106.7   119.5   197.0   224.1   238.3   249.2   261.8   277.0   304.7   396.1  1509.8  5490.4  17461.8    17596
read      274.8   310.0    63.8   112.9   126.0   209.8   258.4   286.8   307.8   333.7   370.2   467.3  1595.5  3552.9  7093.5 136326.3   136415
read      210.2   109.4    68.9   111.4   122.8   190.7   228.4   251.9   269.6   290.9   317.8   359.7   451.5  1155.4  2957.3 142665.2   142719
read      236.8   168.1    63.8   103.5   114.7   217.8   265.6   292.2   310.7   331.3   356.6   395.3   527.3  2451.5  5798.2  38585.3    38570
read      184.3    77.2    68.9   108.0   121.4   179.3   197.4   207.7   215.2   224.7   235.8   259.7   339.0  1060.2  1865.7   9323.2     9330
read      326.3   317.5    68.9   143.2   163.4   273.0   322.9   351.4   372.3   398.2   433.5   512.4  1581.9  3973.2  7794.2 165574.2   166088
read      239.0   171.3    63.8   107.1   117.8   194.9   248.3   283.9   311.9   348.4   405.5   507.8   740.5  2108.4  4020.1 101382.2   101314
read      258.9   321.0    68.9   117.1   130.8   211.3   256.3   282.9   302.4   325.5   356.6   407.6  1476.1  4108.2  7909.1 148134.0   147935
read      229.2   105.8    59.1   103.5   114.8   217.2   262.8   288.4   306.3   326.1   350.7   388.5   480.8  1058.4  2187.2  39113.7    39225
read      378.5   338.5    74.4   169.4   193.3   319.3   369.9   397.8   419.5   446.3   487.9   619.7  1697.6  3550.3  7400.6 172946.5   173098
read      317.7   423.9    63.8   117.3   132.1   224.7   274.0   301.9   322.3   349.6   394.4   942.4  2632.3  3696.3  7839.9 127562.5   127770
read      248.3   198.8    63.8   107.1   117.9   198.3   255.2   293.3   323.9   365.1   423.1   517.7   899.9  2484.8  4716.0  97250.8    97194
read      226.5   116.8    63.8   104.4   116.1   214.9   257.8   279.6   294.7   312.0   332.9   364.7   463.3  1614.0  2390.5  30500.7    30527
read      301.2   297.1    68.9   112.6   125.9   214.0   273.1   318.7   367.1   454.6   581.8   791.7  1402.0  3254.4  7459.6 109717.3   109837
read      249.1   181.0    63.8   103.2   113.4   214.7   280.4   319.1   347.1   378.8   415.8   467.6   610.7  2430.0  4365.2  66741.2    66634
read      238.3   125.6    68.9   103.5   114.5   221.7   275.9   305.5   325.1   346.3   372.2   409.4   503.6  1408.4  2696.3  43035.8    43157
read      262.0   227.7    63.8   109.1   120.1   203.8   266.6   312.3   351.7   403.4   466.9   561.7   870.0  2852.7  6980.9  99777.0    99823
read      271.1   243.1    68.9   111.2   123.2   204.5   258.6   296.6   331.5   387.0   492.7   674.3  1119.2  2856.8  7041.7 108342.0   108232
read      239.9   177.7    68.9   104.2   115.6   222.0   271.0   297.6   316.0   336.6   361.5   398.0   515.5  2524.1  6826.4  39198.7    39166
read      241.8   135.9    63.8   103.7   114.7   222.3   277.4   308.9   329.6   352.0   378.7   419.7   536.4  1677.7  2751.6  44435.0    44521
read      270.8   234.2    68.9   110.3   122.3   205.5   264.0   307.1   345.7   405.8   494.0   633.2  1057.5  2690.5  6174.2 104975.5   104945
read      246.3   169.4    68.9   106.9   117.6   198.8   258.2   299.4   334.4   379.7   438.5   523.4   728.5  2070.0  3719.7  97207.8    97301
read      212.4   120.2    63.8   102.9   112.2   193.0   243.4   269.0   286.1   305.6   330.7   371.3   490.5  1040.1  4236.3  73167.5    73173
read      213.3    84.3    63.8   105.6   115.3   213.5   247.4   265.1   277.1   291.8   310.3   338.1   397.5   549.1  2168.7  40075.5    40131
read      229.7   112.2    68.9   126.2   141.2   215.9   250.4   270.7   286.2   304.6   329.0   367.7   459.2  1252.5  3451.9 176340.8   176336
read      203.1    97.5    63.8   107.0   117.1   182.5   221.3   245.9   264.7   286.7   313.8   354.4   448.3   948.4  3045.2 127211.7   127312
read      206.2    95.7    63.8   104.5   114.2   183.6   230.4   258.0   276.9   298.5   325.4   366.9   474.9   763.7  1244.6  97431.2    97810
read      219.0   150.4    59.1   104.3   114.4   209.4   248.7   268.2   281.9   297.3   319.4   361.9   477.7  1802.0  6173.4  51040.5    50882
read      256.3   199.5    59.1   103.4   113.8   214.4   288.2   333.5   364.9   398.2   436.3   493.7   660.2  2585.6  7212.4  72835.7    72895
read      262.9   217.2    68.9   108.3   119.6   205.1   268.1   313.5   352.7   403.7   467.4   562.6   941.4  2760.9  4857.8  97849.8    97764
read      287.7   286.7    68.9   131.0   148.8   244.5   292.3   320.0   341.5   367.5   402.0   463.8  1436.7  3745.8  7422.1 162386.7   162367
read      245.1   237.3    63.8   103.7   115.5   218.8   261.1   285.3   302.8   322.6   349.1   395.4   855.0  3697.7  7715.3  30959.3    31031
read      394.0   396.2    80.4   171.7   195.2   326.4   380.8   411.3   434.4   465.0   509.9   637.8  2447.4  4364.8  7869.4 177547.7   177679
read      319.4   414.6    63.8   119.1   135.2   231.1   277.3   304.0   323.9   351.0   398.0   899.0  2465.7  3802.4  7899.2 122236.0   122047
read      255.9   170.7    68.9   128.7   144.6   230.4   272.9   298.6   318.2   342.5   375.0   429.2   584.8  2757.5  4434.6 167760.5   167697
read      193.4    74.3    63.8   108.9   123.5   189.3   210.2   221.9   230.7   241.3   254.6   278.5   340.7   782.0  2332.2   9982.7     9912
read      459.2   580.1    74.4   152.1   174.4   297.7   352.0   389.2   423.0   484.8  1052.4  1549.7  3306.5  6149.5  8103.8  44274.7   136895

Total QPS = 85074.4 (68059496 / 800.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 16810694771 bytes :   20.0 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.84%,36.00%,100.00%
