Random waveform, supplied seed
Total number of intervals = 170 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185, 152724, 20845, 140348, 88725, 134088, 66126, 78214, 55191, 54081, 112478, 179666, 100584, 127920, 6594, 25020, 129587, 10277, 148458, 66114, 49261, 133049, 106628, 23498, 103564, 161774, 39037, 163622, 132405, 131596, 174543, 90567, 116582, 13888, 119224, 156471, 164013, 41909, 128280, 107066, 46119, 10227, 10870, 146664, 19865, 113409, 70623, 52633, 104630, 42594, 95196, 52243, 37031, 39878, 110750, 8231, 63638, 90167, 50555)
Average QPS expected = 91129
Timestamp start: 1747361859825
Timestamp end: 1747362710073

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      198.8   115.0    63.8   100.9   110.4   174.6   215.7   244.1   265.5   289.2   317.3   358.3   458.8   936.6  3535.5 133667.8   133577
read      216.9   202.0    59.1    98.3   108.0   199.7   245.2   267.7   283.2   301.3   324.8   363.8   470.5  2354.5 10706.7  54044.0    53832
read      261.8   393.9    63.8   103.3   114.4   195.2   241.8   267.3   285.6   308.2   339.2   403.0  2355.5  4705.4  8163.3 139916.4   139832
read      211.3   137.0    63.8   110.4   121.9   189.7   227.1   250.5   268.1   289.0   315.5   357.5   465.6  1708.2  4962.4 170142.0   170515
read      198.0   101.0    54.7    98.7   108.0   172.7   215.7   245.0   267.0   291.4   319.7   361.9   471.4  1038.1  2002.9 128303.0   128494
read      202.9    86.8    59.1    98.4   110.3   195.8   231.1   249.6   262.6   276.8   295.3   324.0   397.9   820.3  2301.4  20762.0    20789
read      233.3   155.4    59.1    95.3   103.8   207.8   271.3   306.0   329.4   354.8   385.8   432.4   546.7  1995.8  3856.1  63715.2    63647
read      229.9   130.0    63.8    95.0   103.5   207.1   270.4   305.0   327.8   352.2   381.3   426.2   529.4  1258.3  2501.9  64764.4    64802
read      229.2   152.4    63.8    95.6   104.4   209.1   268.0   299.0   319.2   341.6   368.9   410.9   517.2  1291.6  6731.0  55715.6    55719
read      279.4   301.7    63.8   121.8   137.8   230.2   271.5   294.9   312.9   335.0   366.5   434.4  1517.2  3462.2  7606.7 173782.8   174179
read      196.3    88.3    59.1    97.0   105.8   173.8   221.0   252.0   272.1   293.3   317.7   352.8   437.1   622.3   939.3 106135.2   106356
read      217.0   117.0    63.8   117.2   130.2   198.9   234.7   257.0   273.4   293.4   318.9   360.6   462.7  1268.6  4292.6 178574.4   178750
read      199.3   103.0    59.1    97.6   106.5   175.1   222.7   254.1   275.1   297.6   323.4   361.3   446.3   798.4  2997.5 105682.8   105831
read      199.2   105.7    59.1    97.6   106.6   174.3   220.0   252.4   274.2   297.8   325.0   364.0   460.1   833.8  1864.2 110664.8   110667
read      171.0   104.9    63.8    98.9   110.7   165.2   182.8   192.4   199.4   209.0   221.9   245.2   318.9  1271.7  4258.9   8850.0     8803
read      199.9    82.8    63.8   100.5   110.5   199.1   231.1   246.5   257.0   269.5   286.2   313.2   385.7   629.7  2280.4  45585.0    45662
read      204.6   147.4    59.1   101.3   112.4   197.5   226.0   241.6   253.4   268.4   288.3   319.3   398.9  1670.3  6595.6  30878.8    30867
read      232.0   216.1    59.1    97.2   107.0   214.0   267.6   295.3   314.0   334.9   360.0   398.6   497.3  1650.2 11433.0  45695.8    45656
read      256.7   251.3    63.8    99.2   109.3   194.2   269.8   324.2   364.1   406.5   455.7   530.4   855.9  3389.8  7213.1 100838.2   100938
read      252.1   278.2    63.8   102.5   113.2   191.1   237.9   266.7   287.6   312.8   348.2   465.7  1481.6  3232.0  6854.5 132423.8   132360
read      229.8   134.6    59.1    96.5   105.3   203.6   266.7   298.9   322.0   349.1   383.5   435.1   547.7  1489.2  3020.2  67813.6    67591
read      220.9   145.9    59.1    98.6   109.5   209.0   256.8   278.5   293.2   310.1   330.5   362.1   447.8  1068.7  6228.4  33889.6    33910
read      244.7   191.7    59.1    96.5   105.5   198.2   274.8   320.3   352.4   387.7   429.3   488.0   645.6  2534.8  5313.8  85679.8    85729
read      185.1    93.0    59.1    97.1   109.9   180.7   202.7   216.2   226.3   237.5   253.1   278.7   353.3   856.1  3400.3  12898.0    12884
read      231.9   132.0    59.1    97.4   107.3   215.6   270.4   298.4   316.8   337.5   363.1   403.2   520.0  1421.7  3062.5  45588.6    45621
read      222.0   108.6    59.1    97.1   107.7   211.1   260.6   284.2   299.9   317.1   338.6   370.6   457.0  1197.0  2313.1  36950.0    36938
read      234.8   140.3    59.1    96.0   104.9   212.8   274.2   306.8   328.6   352.6   382.3   428.0   545.0  1595.9  3148.9  57042.6    56902
read      255.6   223.0    59.1   100.0   110.1   195.0   272.8   331.3   373.0   416.2   463.6   532.6   753.6  2907.5  7578.5 102079.4   102243
read      190.0    84.0    59.1    97.7   110.9   186.0   209.7   223.7   233.5   246.0   261.9   288.5   369.7   929.4  2374.4  14120.8    14085
read      242.8   191.2    63.8    97.4   106.8   193.0   269.4   318.8   353.8   391.1   433.9   494.3   631.2  2660.8  4986.4  94270.4    94103
read      236.8   142.5    54.7    96.6   105.8   214.8   276.8   309.6   331.7   356.4   386.2   431.2   547.5  1736.4  3079.6  58037.0    58175
read      269.9   365.6    63.8   108.8   121.2   207.3   254.3   278.9   296.6   318.8   350.7   422.2  1917.5  4129.5  7862.7 151204.8   151312
read      228.8   157.0    59.1    96.2   105.0   192.4   259.9   296.6   323.3   354.4   394.1   453.1   578.8  1654.6  5194.8  83271.0    83333
read      269.7   292.2    59.1   115.1   129.6   220.3   265.6   290.1   308.3   330.3   361.4   425.4  1529.8  3428.1  7570.3 164961.2   165153
read      201.4   124.4    59.1    98.3   107.7   174.2   217.8   247.9   269.6   293.9   321.8   363.8   483.5  1548.1  3403.8 123734.8   123975
read      212.0    94.4    59.1    99.7   111.3   204.4   243.7   263.6   276.5   292.1   311.6   340.3   411.2  1014.8  1974.6  28364.4    28449
read      193.4    72.0    59.1   101.5   114.6   190.2   214.6   228.8   238.7   251.1   266.6   290.7   358.1   859.2  1817.9  14869.0    14903
read      217.0   102.1    59.1    98.6   109.9   207.5   252.6   273.4   287.8   303.7   322.6   353.3   433.4  1140.7  3036.4  31271.4    31189
read      226.7   179.2    63.8    97.3   107.4   211.1   263.2   288.7   305.7   324.0   346.1   381.5   481.9  1446.6 10801.6  40623.4    40636
read      238.6   170.0    59.1    95.6   104.2   200.0   275.1   317.0   345.9   377.4   416.8   467.5   592.1  2069.6  5846.2  80306.0    80574
read      275.8   306.3    68.9   117.5   132.8   225.3   269.2   293.8   312.4   335.3   367.8   434.9  1555.1  3456.6  7761.2 168666.2   168820
read      204.0    96.6    63.8   108.2   119.1   184.8   221.8   245.4   263.6   285.0   312.4   353.1   446.2   885.8  2520.0 162792.2   162621
read      228.6   154.1    59.1    97.8   107.1   184.8   249.4   291.7   322.5   360.0   407.5   474.3   620.5  1749.0  4055.1 101645.2   101621
read      234.1   125.0    59.1    96.0   105.0   214.4   275.7   309.1   331.2   355.5   385.5   430.2   529.8  1227.5  2795.2  58476.4    58592
read      278.8   365.1    63.8   110.2   123.1   213.2   258.9   283.8   302.3   325.7   360.0   443.5  1827.6  3596.6  7906.3 152897.0   153042
read      199.7   134.7    63.8    97.4   106.3   173.9   220.3   251.7   273.5   297.1   324.1   362.9   455.5   869.0  6247.2 112094.4   112238
read      204.9   110.0    63.8   106.9   117.7   183.6   221.4   246.3   265.2   287.4   315.2   357.5   460.3  1079.7  3438.8 160461.6   160265
read      227.5   123.3    59.1    96.3   105.3   209.7   266.3   295.9   316.8   340.9   369.8   415.9   503.4  1130.8  2902.3  57062.2    57109
read      241.7   184.5    59.1    96.2   105.1   195.7   273.7   320.6   352.7   387.4   427.7   485.7   625.8  2284.2  5843.9  88385.4    88551
read      172.6    62.0    63.8    95.7   107.7   169.6   189.0   199.5   207.7   217.4   231.4   254.3   327.7   859.4  1414.1   8493.4     8385
read      217.5   129.3    59.1    98.6   109.7   205.1   247.0   269.9   285.6   303.2   324.1   357.3   452.4  1797.9  4201.5  34024.0    34088
read      214.6   139.4    63.8    98.5   108.0   179.1   229.9   264.7   289.2   317.2   354.1   425.1   626.5  1511.3  3494.3 113392.2   113600
read      201.3   124.2    59.1    99.5   109.1   175.0   217.7   246.4   267.9   292.1   320.8   364.0   486.8  1452.7  2889.9 131682.8   131842
read      201.2   169.0    59.1    97.5   106.5   174.1   220.9   252.6   274.3   297.9   325.5   365.9   474.2  1024.4  3871.8 111849.0   112066
read      240.3   176.8    59.1    96.1   104.8   205.6   276.3   314.5   341.3   370.5   406.0   458.3   588.5  2454.8  4149.2  72852.8    72585
read      306.7   403.3    63.8   106.7   119.4   212.4   261.1   288.8   310.6   339.2   390.7  1223.2  2007.3  3690.4  7820.7 133635.2   133669
read      181.7    87.7    59.1    97.5   109.8   177.7   198.2   210.4   219.1   230.5   245.3   270.0   346.5   977.9  2529.9  11777.0    11820
read      183.8   111.1    63.8    97.7   110.0   178.9   200.0   213.0   222.5   233.4   249.0   272.8   354.0  1160.5  5471.3  12663.6    12639
read      236.0   249.2    59.1   100.0   110.2   184.0   234.0   268.6   294.6   327.5   378.8   511.8  1017.2  3073.5  6333.5 118402.0   118548
read      208.2    99.2    63.8   110.6   122.0   189.0   226.4   250.1   268.1   289.4   316.3   358.5   457.7   946.5  2212.1 165759.0   165754
read      230.0   170.4    54.7    96.7   105.6   191.1   259.1   297.3   325.3   358.2   400.4   462.5   580.9  1911.2  6541.1  86761.8    86823
read      192.1    72.4    59.1    98.2   110.2   189.4   215.5   229.9   240.2   252.3   268.2   292.7   357.5   837.3  2164.7  17014.6    16898
read      251.7   267.2    59.1   102.0   112.5   188.4   235.9   269.0   294.2   326.9   382.6   607.3  1357.4  3013.2  7209.4 122988.8   123124
read      240.1   193.0    59.1    96.2   105.0   203.0   271.5   308.1   334.1   363.9   400.9   456.2   628.2  2699.9  4561.3  72153.2    72278
read      232.7   138.8    59.1    97.1   106.8   214.5   270.9   300.2   319.0   340.2   365.8   404.9   535.5  1535.9  3366.8  47886.2    47757
read      239.2   199.5    59.1    96.5   105.5   214.3   277.7   311.7   334.9   360.6   392.1   438.4   565.2  1810.1  4023.5  60553.2    60510
read      209.7   185.8    59.1    98.5   109.9   200.2   238.2   257.7   270.5   285.3   303.4   331.4   404.2   907.9 10946.8  25233.0    25237
read      249.4   178.1    59.1    98.7   108.6   194.2   274.1   331.5   370.3   410.3   455.9   520.3   686.8  2094.3  3601.7  98108.6    97783
